Shape,A,h,b,t(nom),t(des),wt./ft.,b/t,h/t,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,h(flat),b(flat),J,C,A(surf)
HSS20X12X5/8,35,20,12,0.625,0.581,127.37,17.7,31.5,1880,188,7.33,230,851,142,4.93,162,17.1875,9.1875,1890,257,5.17
HSS20X12X1/2,28.3,20,12,0.5,0.465,103.3,22.8,40,1550,155,7.39,188,705,117,4.99,132,17.75,9.75,1540,209,5.2
HSS20X12X3/8,21.5,20,12,0.375,0.349,78.52,31.5,54.4,1200,120,7.45,144,547,91.1,5.04,102,18.3125,10.3125,1180,160,5.23
HSS20X12X5/16,18.1,20,12,0.3125,0.291,65.87,38.1,65.6,1010,101,7.48,122,464,77.3,5.07,85.8,18.625,10.625,997,134,5.25
HSS20X8X5/8,30.3,20,8,0.625,0.581,110.36,10.8,31.5,1440,144,6.89,185,338,84.6,3.34,96.4,17.1875,5.1875,916,167,4.5
HSS20X8X1/2,24.6,20,8,0.5,0.465,89.68,14.2,40,1190,119,6.96,152,283,70.8,3.39,79.5,17.75,5.75,757,137,4.53
HSS20X8X3/8,18.7,20,8,0.375,0.349,68.31,19.9,54.4,926,92.6,7.03,117,222,55.6,3.44,61.5,18.3125,6.3125,586,105,4.57
HSS20X8X5/16,15.7,20,8,0.3125,0.291,57.36,24.5,65.6,786,78.6,7.07,98.6,189,47.4,3.47,52,18.625,6.625,496,88.3,4.58
HSS20X4X1/2,20.9,20,4,0.5,0.465,76.07,5.59,40,838,83.8,6.33,115,58.7,29.3,1.68,34,17.75,---,195,63.8,3.87
HSS20X4X3/8,16,20,4,0.375,0.349,58.1,8.45,54.4,657,65.7,6.42,89.3,47.6,23.8,1.73,26.8,18.3125,2.3125,156,49.9,3.9
HSS20X4X5/16,13.4,20,4,0.3125,0.291,48.86,10.8,65.6,560,56,6.46,75.6,41.2,20.6,1.75,22.9,18.625,2.625,134,42.4,3.92
HSS20X4X1/4,10.8,20,4,0.25,0.233,39.43,14.2,82.8,458,45.8,6.5,61.5,34.3,17.1,1.78,18.7,18.875,2.875,111,34.7,3.93
HSS18X6X5/8,25.7,18,6,0.625,0.581,93.34,7.33,28.1,923,103,6,135,158,52.7,2.48,61,15.1875,3.1875,462,109,3.83
HSS18X6X1/2,20.9,18,6,0.5,0.465,76.07,9.91,35.7,770,85.6,6.07,112,134,44.6,2.53,50.7,15.75,3.75,387,89.9,3.87
HSS18X6X3/8,16,18,6,0.375,0.349,58.1,14.2,48.7,602,66.9,6.15,86.4,106,35.5,2.58,39.5,16.3125,4.3125,302,69.5,3.9
HSS18X6X5/16,13.4,18,6,0.3125,0.291,48.86,17.6,58.8,513,57,6.18,73.1,91.3,30.4,2.61,33.5,16.5625,4.5625,257,58.7,3.92
HSS18X6X1/4,10.8,18,6,0.25,0.233,39.43,22.7,74.2,419,46.5,6.22,59.4,75.1,25,2.63,27.3,16.875,4.875,210,47.7,3.93
HSS16X16X5/8,35,16,16,0.625,0.581,127.37,24.6,24.6,1370,171,6.25,200,1370,171,6.25,200,13.1875,13.1875,2170,276,5.17
HSS16X16X1/2,28.3,16,16,0.5,0.465,103.3,31.4,31.4,1130,141,6.31,164,1130,141,6.31,164,13.75,13.75,1770,224,5.2
HSS16X16X3/8,21.5,16,16,0.375,0.349,78.52,43,43,873,109,6.37,126,873,109,6.37,126,14.3125,14.3125,1350,171,5.23
HSS16X16X5/16,18.1,16,16,0.3125,0.291,65.87,51.9,51.9,739,92.3,6.39,106,739,92.3,6.39,106,14.625,14.625,1140,144,5.25
HSS16X12X5/8,30.3,16,12,0.625,0.581,110.36,17.7,24.6,1090,136,6,165,700,117,4.8,135,13.1875,9.1875,1370,204,4.5
HSS16X12X1/2,24.6,16,12,0.5,0.465,89.68,22.8,31.4,904,113,6.06,135,581,96.8,4.86,111,13.75,9.75,1120,166,4.53
HSS16X12X3/8,18.7,16,12,0.375,0.349,68.31,31.5,43,702,87.7,6.12,104,452,75.3,4.91,85.5,14.3125,10.3125,862,127,4.57
HSS16X12X5/16,15.7,16,12,0.3125,0.291,57.36,38.1,51.9,595,74.4,6.15,87.7,384,64,4.94,72.2,14.625,10.625,727,107,4.58
HSS16X8X5/8,25.7,16,8,0.625,0.581,93.34,10.8,24.6,815,102,5.64,129,274,68.6,3.27,79.2,13.1875,5.1875,681,132,3.83
HSS16X8X1/2,20.9,16,8,0.5,0.465,76.07,14.2,31.4,679,84.9,5.7,106,230,57.6,3.32,65.5,13.75,5.75,563,108,3.87
HSS16X8X3/8,16,16,8,0.375,0.349,58.1,19.9,43,531,66.3,5.77,82.1,181,45.3,3.37,50.8,14.3125,6.3125,436,83.4,3.9
HSS16X8X5/16,13.4,16,8,0.3125,0.291,48.86,24.5,51.9,451,56.4,5.8,69.4,155,38.7,3.4,43,14.625,6.625,369,70.4,3.92
HSS16X8X1/4,10.8,16,8,0.25,0.233,39.43,31.3,65.7,368,46.1,5.83,56.4,127,31.7,3.42,35,14.875,6.875,300,57,3.93
HSS16X4X5/8,21,16,4,0.625,0.581,76.33,3.89,24.6,539,67.3,5.06,92.9,54.1,27,1.6,32.5,13.1875,---,174,60.5,3.17
HSS16X4X1/2,17.2,16,4,0.5,0.465,62.46,5.59,31.4,455,56.9,5.15,77.3,47,23.5,1.65,27.4,13.75,---,150,50.7,3.2
HSS16X4X3/8,13.2,16,4,0.375,0.349,47.9,8.45,43,360,45,5.23,60.2,38.3,19.1,1.71,21.7,14.3125,2.3125,120,39.7,3.23
HSS16X4X5/16,11.1,16,4,0.3125,0.291,40.35,10.8,51.9,308,38.5,5.27,51.1,33.2,16.6,1.73,18.5,14.625,2.625,103,33.8,3.25
HSS16X4X1/4,8.96,16,4,0.25,0.233,32.63,14.2,65.7,253,31.6,5.31,41.7,27.7,13.8,1.76,15.2,14.875,2.875,85.2,27.6,3.27
HSS16X4X3/16,6.76,16,4,0.1875,0.174,24.73,20,89.1,193,24.2,5.35,31.7,21.5,10.8,1.78,11.7,15.1875,3.1875,65.5,21.1,3.28
HSS14X14X5/8,30.3,14,14,0.625,0.581,110.36,21.2,21.2,897,128,5.44,151,897,128,5.44,151,11.1875,11.1875,1430,208,4.5
HSS14X14X1/2,24.6,14,14,0.5,0.465,89.68,27.1,27.1,743,106,5.49,124,743,106,5.49,124,11.75,11.75,1170,170,4.53
HSS14X14X3/8,18.7,14,14,0.375,0.349,68.31,37.2,37.2,577,82.5,5.55,95.4,577,82.5,5.55,95.4,12.3125,12.3125,900,130,4.57
HSS14X14X5/16,15.7,14,14,0.3125,0.291,57.36,45,45,490,69.9,5.58,80.5,490,69.9,5.58,80.5,12.625,12.625,759,109,4.58
HSS14X10X5/8,25.7,14,10,0.625,0.581,93.34,14.2,21.2,687,98.2,5.17,120,407,81.5,3.98,95.1,11.1875,7.1875,832,146,3.83
HSS14X10X1/2,20.9,14,10,0.5,0.465,76.07,18.5,27.1,573,81.8,5.23,98.8,341,68.1,4.04,78.5,11.75,7.75,685,120,3.87
HSS14X10X3/8,16,14,10,0.375,0.349,58.1,25.6,37.2,447,63.9,5.29,76.3,267,53.4,4.09,60.7,12.3125,8.3125,528,91.8,3.9
HSS14X10X5/16,13.4,14,10,0.3125,0.291,48.86,31.4,45,380,54.3,5.32,64.6,227,45.5,4.12,51.4,12.5625,8.5625,446,77.4,3.92
HSS14X10X1/4,10.8,14,10,0.25,0.233,39.43,39.9,57.1,310,44.3,5.35,52.4,186,37.2,4.14,41.8,12.875,8.875,362,62.6,3.93
HSS14X6X5/8,21,14,6,0.625,0.581,76.33,7.33,21.2,478,68.3,4.77,88.7,124,41.2,2.43,48.4,11.1875,3.1875,334,83.7,3.17
HSS14X6X1/2,17.2,14,6,0.5,0.465,62.46,9.91,27.1,402,57.4,4.84,73.6,105,35.1,2.48,40.4,11.75,3.75,279,69.3,3.2
HSS14X6X3/8,13.2,14,6,0.375,0.349,47.9,14.2,37.2,317,45.3,4.91,57.3,84.1,28,2.53,31.6,12.3125,4.3125,219,53.7,3.23
HSS14X6X5/16,11.1,14,6,0.3125,0.291,40.35,17.6,45,271,38.7,4.94,48.6,72.3,24.1,2.55,26.9,12.5625,4.5625,186,45.5,3.25
HSS14X6X1/4,8.96,14,6,0.25,0.233,32.63,22.7,57.1,222,31.7,4.98,39.6,59.6,19.9,2.58,22,12.875,4.875,152,36.9,3.27
HSS14X6X3/16,6.76,14,6,0.1875,0.174,24.73,31.5,77.6,170,24.3,5.01,30.1,45.9,15.3,2.61,16.7,13.1875,5.1875,116,28,3.28
HSS14X4X5/8,18.7,14,4,0.625,0.581,67.82,3.89,21.2,373,53.3,4.47,73.1,47.2,23.6,1.59,28.5,11.25,---,148,52.6,2.83
HSS14X4X1/2,15.3,14,4,0.5,0.465,55.66,5.59,27.1,317,45.3,4.55,61,41.2,20.6,1.64,24.1,11.75,---,127,44.1,2.87
HSS14X4X3/8,11.8,14,4,0.375,0.349,42.79,8.45,37.2,252,36,4.63,47.8,33.6,16.8,1.69,19.1,12.25,2.25,102,34.6,2.9
HSS14X4X5/16,9.92,14,4,0.3125,0.291,36.1,10.8,45,216,30.9,4.67,40.6,29.2,14.6,1.72,16.4,12.625,2.625,87.7,29.5,2.92
HSS14X4X1/4,8.03,14,4,0.25,0.233,29.23,14.2,57.1,178,25.4,4.71,33.2,24.4,12.2,1.74,13.5,12.875,2.875,72.4,24.1,2.93
HSS14X4X3/16,6.06,14,4,0.1875,0.174,22.18,20,77.6,137,19.5,4.74,25.3,19,9.48,1.77,10.3,13.125,3.125,55.8,18.4,2.95
HSS12X12X5/8,25.7,12,12,0.625,0.581,93.34,17.7,17.7,548,91.4,4.62,109,548,91.4,4.62,109,9.1875,9.1875,885,151,3.83
HSS12X12X1/2,20.9,12,12,0.5,0.465,76.07,22.8,22.8,457,76.2,4.68,89.6,457,76.2,4.68,89.6,9.75,9.75,728,123,3.87
HSS12X12X3/8,16,12,12,0.375,0.349,58.1,31.5,31.5,357,59.5,4.73,69.2,357,59.5,4.73,69.2,10.3125,10.3125,561,94.6,3.9
HSS12X12X5/16,13.4,12,12,0.3125,0.291,48.86,38.1,38.1,304,50.7,4.76,58.6,304,50.7,4.76,58.6,10.625,10.625,474,79.7,3.92
HSS12X12X1/4,10.8,12,12,0.25,0.233,39.43,48.5,48.5,248,41.4,4.79,47.6,248,41.4,4.79,47.6,10.875,10.875,384,64.5,3.93
HSS12X12X3/16,8.15,12,12,0.1875,0.174,29.84,66.1,66.1,189,31.5,4.82,36,189,31.5,4.82,36,11.1875,11.1875,290,48.6,3.95
HSS12X10X1/2,19,12,10,0.5,0.465,69.27,18.5,22.8,395,65.9,4.56,78.8,298,59.7,3.96,69.6,9.75,7.75,545,102,3.53
HSS12X10X3/8,14.6,12,10,0.375,0.349,53,25.6,31.5,310,51.6,4.61,61.1,234,46.9,4.01,54,10.3125,8.3125,421,78.3,3.57
HSS12X10X5/16,12.2,12,10,0.3125,0.291,44.6,31.4,38.1,264,44,4.64,51.7,200,40,4.04,45.7,10.5625,8.5625,356,66.1,3.58
HSS12X10X1/4,9.9,12,10,0.25,0.233,36.03,39.9,48.5,216,36,4.67,42.1,164,32.7,4.07,37.2,10.875,8.875,289,53.5,3.6
HSS12X8X5/8,21,12,8,0.625,0.581,76.33,10.8,17.7,397,66.1,4.34,82.1,210,52.5,3.16,61.9,9.1875,5.1875,454,97.7,3.17
HSS12X8X1/2,17.2,12,8,0.5,0.465,62.46,14.2,22.8,333,55.6,4.41,68.1,178,44.4,3.21,51.5,9.75,5.75,377,80.4,3.2
HSS12X8X3/8,13.2,12,8,0.375,0.349,47.9,19.9,31.5,262,43.7,4.47,53,140,35.1,3.27,40.1,10.3125,6.3125,293,62.1,3.23
HSS12X8X5/16,11.1,12,8,0.3125,0.291,40.35,24.5,38.1,224,37.4,4.5,44.9,120,30.1,3.29,34.1,10.5625,6.5625,248,52.4,3.25
HSS12X8X1/4,8.96,12,8,0.25,0.233,32.63,31.3,48.5,184,30.6,4.53,36.6,98.8,24.7,3.32,27.8,10.875,6.875,202,42.5,3.27
HSS12X8X3/16,6.76,12,8,0.1875,0.174,24.73,43,66.1,140,23.4,4.56,27.8,75.7,18.9,3.35,21.1,11.125,7.125,153,32.2,3.28
HSS12X6X5/8,18.7,12,6,0.625,0.581,67.82,7.33,17.7,321,53.4,4.14,68.8,107,35.5,2.39,42.1,9.1875,3.1875,271,71.1,2.83
HSS12X6X1/2,15.3,12,6,0.5,0.465,55.66,9.91,22.8,271,45.2,4.21,57.4,91.1,30.4,2.44,35.2,9.75,3.75,227,59,2.87
HSS12X6X3/8,11.8,12,6,0.375,0.349,42.79,14.2,31.5,215,35.9,4.28,44.8,72.9,24.3,2.49,27.7,10.3125,4.3125,178,45.8,2.9
HSS12X6X5/16,9.92,12,6,0.3125,0.291,36.1,17.6,38.1,184,30.7,4.31,38.1,62.8,20.9,2.52,23.6,10.5625,4.5625,152,38.8,2.92
HSS12X6X1/4,8.03,12,6,0.25,0.233,29.23,22.7,48.5,151,25.2,4.34,31.1,51.9,17.3,2.54,19.3,10.875,4.875,124,31.6,2.93
HSS12X6X3/16,6.06,12,6,0.1875,0.174,22.18,31.5,66.1,116,19.4,4.38,23.7,40,13.3,2.57,14.7,11.1875,5.1875,94.6,24,2.95
HSS12X4X5/8,16.4,12,4,0.625,0.581,59.32,3.89,17.7,245,40.8,3.87,55.5,40.4,20.2,1.57,24.5,9.1875,---,122,44.6,2.5
HSS12X4X1/2,13.5,12,4,0.5,0.465,48.85,5.59,22.8,210,34.9,3.95,46.7,35.3,17.7,1.62,20.9,9.75,---,105,37.5,2.53
HSS12X4X3/8,10.4,12,4,0.375,0.349,37.69,8.45,31.5,168,28,4.02,36.7,28.9,14.5,1.67,16.6,10.3125,2.3125,84.1,29.5,2.57
HSS12X4X5/16,8.76,12,4,0.3125,0.291,31.84,10.8,38.1,144,24.1,4.06,31.3,25.2,12.6,1.7,14.2,10.625,2.625,72.4,25.2,2.58
HSS12X4X1/4,7.1,12,4,0.25,0.233,25.82,14.2,48.5,119,19.9,4.1,25.6,21,10.5,1.72,11.7,10.875,2.875,59.8,20.6,2.6
HSS12X4X3/16,5.37,12,4,0.1875,0.174,19.63,20,66.1,91.8,15.3,4.13,19.6,16.4,8.2,1.75,9,11.1875,3.1875,46.1,15.7,2.62
HSS12X3-1/2X3/8,10,12,3.5,0.375,0.349,36.41,7.02,31.5,156,26,3.94,34.7,21.3,12.2,1.46,14,10.3125,---,64.7,25.5,2.48
HSS12X3-1/2X5/16,8.46,12,3.5,0.3125,0.291,30.78,9.04,38.1,134,22.4,3.98,29.6,18.6,10.6,1.48,12.1,10.625,---,56,21.8,2.5
HSS12X3X5/16,8.17,12,3,0.3125,0.291,29.72,7.32,38.1,124,20.7,3.9,27.9,13.1,8.73,1.27,10,10.625,---,41.3,18.4,2.42
HSS12X3X1/4,6.63,12,3,0.25,0.233,24.12,9.87,48.5,103,17.2,3.94,22.9,11.1,7.38,1.29,8.28,10.875,---,34.5,15.1,2.43
HSS12X3X3/16,5.02,12,3,0.1875,0.174,18.35,14.3,66.1,79.6,13.3,3.98,17.5,8.72,5.81,1.32,6.4,11.1875,2.1875,26.8,11.6,2.45
HSS12X2X5/16,7.59,12,2,0.3125,0.291,27.59,3.88,38.1,104,17.4,3.71,24.5,5.1,5.1,0.82,6.05,10.625,---,17.6,11.6,2.25
HSS12X2X1/4,6.17,12,2,0.25,0.233,22.42,5.58,48.5,86.9,14.5,3.75,20.1,4.41,4.41,0.845,5.08,10.875,---,15.1,9.64,2.27
HSS12X2X3/16,4.67,12,2,0.1875,0.174,17.08,8.51,66.1,67.4,11.2,3.8,15.5,3.55,3.55,0.872,3.97,11.1875,---,12,7.49,2.28
HSS10X10X5/8,21,10,10,0.625,0.581,76.33,14.2,14.2,304,60.8,3.8,73.2,304,60.8,3.8,73.2,7.1875,7.1875,498,102,3.17
HSS10X10X1/2,17.2,10,10,0.5,0.465,62.46,18.5,18.5,256,51.2,3.86,60.7,256,51.2,3.86,60.7,7.75,7.75,412,84.2,3.2
HSS10X10X3/8,13.2,10,10,0.375,0.349,47.9,25.6,25.6,202,40.4,3.92,47.2,202,40.4,3.92,47.2,8.3125,8.3125,320,64.8,3.23
HSS10X10X5/16,11.1,10,10,0.3125,0.291,40.35,31.4,31.4,172,34.5,3.94,40.1,172,34.5,3.94,40.1,8.625,8.625,271,54.8,3.25
HSS10X10X1/4,8.96,10,10,0.25,0.233,32.63,39.9,39.9,141,28.3,3.97,32.7,141,28.3,3.97,32.7,8.875,8.875,220,44.4,3.27
HSS10X10X3/16,6.76,10,10,0.1875,0.174,24.73,54.5,54.5,108,21.6,4,24.8,108,21.6,4,24.8,9.1875,9.1875,167,33.6,3.28
HSS10X8X5/8,18.7,10,8,0.625,0.581,67.82,10.8,14.2,253,50.5,3.68,62.2,178,44.5,3.09,53.3,7.1875,5.1875,346,80.4,2.83
HSS10X8X1/2,15.3,10,8,0.5,0.465,55.66,14.2,18.5,214,42.7,3.73,51.9,151,37.8,3.14,44.5,7.75,5.75,288,66.4,2.87
HSS10X8X3/8,11.8,10,8,0.375,0.349,42.79,19.9,25.6,169,33.9,3.79,40.5,120,30,3.19,34.8,8.3125,6.3125,224,51.4,2.9
HSS10X8X5/16,9.92,10,8,0.3125,0.291,36.1,24.5,31.4,145,29,3.82,34.4,103,25.7,3.22,29.6,8.625,6.625,190,43.5,2.92
HSS10X8X1/4,8.03,10,8,0.25,0.233,29.23,31.3,39.9,119,23.8,3.85,28.1,84.7,21.2,3.25,24.2,8.875,6.875,155,35.3,2.93
HSS10X8X3/16,6.06,10,8,0.1875,0.174,22.18,43,54.5,91.4,18.3,3.88,21.4,65.1,16.3,3.28,18.4,9.1875,7.1875,118,26.7,2.95
HSS10X6X5/8,16.4,10,6,0.625,0.581,59.32,7.33,14.2,201,40.2,3.5,51.3,89.4,29.8,2.34,35.8,7.1875,3.1875,209,58.6,2.5
HSS10X6X1/2,13.5,10,6,0.5,0.465,48.85,9.91,18.5,171,34.3,3.57,43,76.8,25.6,2.39,30.1,7.75,3.75,176,48.7,2.53
HSS10X6X3/8,10.4,10,6,0.375,0.349,37.69,14.2,25.6,137,27.4,3.63,33.8,61.8,20.6,2.44,23.7,8.3125,4.3125,139,37.9,2.57
HSS10X6X5/16,8.76,10,6,0.3125,0.291,31.84,17.6,31.4,118,23.5,3.66,28.8,53.3,17.8,2.47,20.2,8.625,4.625,118,32.2,2.58
HSS10X6X1/4,7.1,10,6,0.25,0.233,25.82,22.7,39.9,96.9,19.4,3.69,23.6,44.1,14.7,2.49,16.6,8.875,4.875,96.7,26.2,2.6
HSS10X6X3/16,5.37,10,6,0.1875,0.174,19.63,31.5,54.5,74.6,14.9,3.73,18,34.1,11.4,2.52,12.7,9.1875,5.1875,73.8,19.9,2.62
HSS10X5X3/8,9.67,10,5,0.375,0.349,35.13,11.3,25.6,120,24.1,3.53,30.4,40.6,16.2,2.05,18.7,8.3125,3.3125,100,31.2,2.4
HSS10X5X5/16,8.17,10,5,0.3125,0.291,29.72,14.2,31.4,104,20.8,3.56,26,35.2,14.1,2.07,16,8.625,3.625,86,26.5,2.42
HSS10X5X1/4,6.63,10,5,0.25,0.233,24.12,18.5,39.9,85.8,17.2,3.6,21.3,29.3,11.7,2.1,13.2,8.875,3.875,70.7,21.6,2.43
HSS10X5X3/16,5.02,10,5,0.1875,0.174,18.35,25.7,54.5,66.2,13.2,3.63,16.3,22.7,9.09,2.13,10.1,9.1875,4.1875,54.1,16.5,2.45
HSS10X4X5/8,14,10,4,0.625,0.581,50.81,3.89,14.2,149,29.9,3.26,40.3,33.5,16.8,1.54,20.6,7.1875,---,95.7,36.7,2.17
HSS10X4X1/2,11.6,10,4,0.5,0.465,42.05,5.59,18.5,129,25.8,3.34,34.1,29.5,14.7,1.59,17.6,7.75,---,82.6,31,2.2
HSS10X4X3/8,8.97,10,4,0.375,0.349,32.58,8.45,25.6,104,20.8,3.41,27,24.3,12.1,1.64,14,8.3125,2.3125,66.5,24.4,2.23
HSS10X4X5/16,7.59,10,4,0.3125,0.291,27.59,10.8,31.4,90.1,18,3.44,23.1,21.2,10.6,1.67,12.1,8.625,2.625,57.3,20.9,2.25
HSS10X4X1/4,6.17,10,4,0.25,0.233,22.42,14.2,39.9,74.7,14.9,3.48,19,17.7,8.87,1.7,10,8.875,2.875,47.4,17.1,2.27
HSS10X4X3/16,4.67,10,4,0.1875,0.174,17.08,20,54.5,57.8,11.6,3.52,14.6,13.9,6.93,1.72,7.66,9.1875,3.1875,36.5,13.1,2.28
HSS10X4X1/8,3.16,10,4,0.125,0.116,11.56,31.5,83.2,39.8,7.97,3.55,10,9.65,4.83,1.75,5.26,9.4375,3.4375,25.1,8.9,2.3
HSS10X3-1/2X1/2,11.1,10,3.5,0.5,0.465,40.34,4.52,18.5,118,23.7,3.26,31.9,21.4,12.2,1.39,14.7,7.75,---,63.2,26.5,2.12
