Shape,A,h,b,t(nom),t(des),wt./ft.,b/t,h/t,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,h(flat),b(flat),J,C,A(surf)
HSS6X2X1/4,3.37,6,2,0.25,0.233,12.21,5.58,22.7,13.1,4.37,1.97,5.84,2.21,2.21,0.81,2.61,4.875,---,6.55,4.7,1.27
HSS6X2X3/16,2.58,6,2,0.1875,0.174,9.42,8.51,31.5,10.5,3.49,2.01,4.58,1.8,1.8,0.836,2.07,5.1875,---,5.24,3.68,1.28
HSS6X2X1/8,1.77,6,2,0.125,0.116,6.46,14.2,48.7,7.42,2.47,2.05,3.19,1.31,1.31,0.861,1.46,5.4375,---,3.72,2.57,1.3
HSS5-1/2X5-1/2X3/8,6.88,5.5,5.5,0.375,0.349,24.93,12.8,12.8,29.7,10.8,2.08,13.1,29.7,10.8,2.08,13.1,3.8125,3.8125,49,18.4,1.73
HSS5-1/2X5-1/2X5/16,5.85,5.5,5.5,0.3125,0.291,21.21,15.9,15.9,25.9,9.43,2.11,11.3,25.9,9.43,2.11,11.3,4.125,4.125,42.2,15.7,1.75
HSS5-1/2X5-1/2X1/4,4.77,5.5,5.5,0.25,0.233,17.32,20.6,20.6,21.7,7.9,2.13,9.32,21.7,7.9,2.13,9.32,4.375,4.375,34.8,12.9,1.77
HSS5-1/2X5-1/2X3/16,3.63,5.5,5.5,0.1875,0.174,13.25,28.6,28.6,17,6.17,2.16,7.19,17,6.17,2.16,7.19,4.6875,4.6875,26.7,9.85,1.78
HSS5-1/2X5-1/2X1/8,2.46,5.5,5.5,0.125,0.116,9.01,44.4,44.4,11.8,4.3,2.19,4.95,11.8,4.3,2.19,4.95,4.9375,4.9375,18.3,6.72,1.8
HSS5X5X1/2,7.88,5,5,0.5,0.465,28.43,7.74,7.74,26,10.4,1.82,13.1,26,10.4,1.82,13.1,2.75,2.75,44.6,18.7,1.53
HSS5X5X3/8,6.18,5,5,0.375,0.349,22.37,11.3,11.3,21.7,8.68,1.87,10.6,21.7,8.68,1.87,10.6,3.3125,3.3125,36.1,14.9,1.57
HSS5X5X5/16,5.26,5,5,0.3125,0.291,19.08,14.2,14.2,19,7.62,1.9,9.16,19,7.62,1.9,9.16,3.625,3.625,31.2,12.8,1.58
HSS5X5X1/4,4.3,5,5,0.25,0.233,15.62,18.5,18.5,16,6.41,1.93,7.61,16,6.41,1.93,7.61,3.875,3.875,25.8,10.5,1.6
HSS5X5X3/16,3.28,5,5,0.1875,0.174,11.97,25.7,25.7,12.6,5.03,1.96,5.89,12.6,5.03,1.96,5.89,4.1875,4.1875,19.9,8.08,1.62
HSS5X5X1/8,2.23,5,5,0.125,0.116,8.16,40.1,40.1,8.8,3.52,1.99,4.07,8.8,3.52,1.99,4.07,4.4375,4.4375,13.7,5.53,1.63
HSS5X4X1/2,6.95,5,4,0.5,0.465,25.03,5.59,7.74,21.2,8.49,1.75,10.9,14.9,7.43,1.46,9.35,2.75,---,30.3,14.5,1.37
HSS5X4X3/8,5.48,5,4,0.375,0.349,19.82,8.45,11.3,17.9,7.17,1.81,8.96,12.6,6.3,1.52,7.67,3.3125,2.3125,24.9,11.7,1.4
HSS5X4X5/16,4.68,5,4,0.3125,0.291,16.96,10.8,14.2,15.8,6.32,1.84,7.79,11.1,5.57,1.54,6.67,3.625,2.625,21.7,10.1,1.42
HSS5X4X1/4,3.84,5,4,0.25,0.233,13.91,14.2,18.5,13.4,5.35,1.87,6.49,9.46,4.73,1.57,5.57,3.875,2.875,18,8.32,1.43
HSS5X4X3/16,2.93,5,4,0.1875,0.174,10.7,20,25.7,10.6,4.22,1.9,5.05,7.48,3.74,1.6,4.34,4.1875,3.1875,14,6.41,1.45
HSS5X4X1/8,2,5,4,0.125,0.116,7.31,31.5,40.1,7.42,2.97,1.93,3.5,5.27,2.64,1.62,3.01,4.4375,3.4375,9.66,4.39,1.47
HSS5X3X1/2,6.02,5,3,0.5,0.465,21.63,3.44,7.74,16.4,6.57,1.65,8.83,7.18,4.78,1.09,6.1,2.75,---,17.6,10.3,1.2
HSS5X3X3/8,4.78,5,3,0.375,0.349,17.27,5.59,11.3,14.1,5.65,1.72,7.34,6.25,4.16,1.14,5.1,3.3125,---,14.9,8.44,1.23
HSS5X3X5/16,4.1,5,3,0.3125,0.291,14.83,7.32,14.2,12.6,5.03,1.75,6.42,5.6,3.73,1.17,4.48,3.625,---,13.1,7.33,1.25
HSS5X3X1/4,3.37,5,3,0.25,0.233,12.21,9.87,18.5,10.7,4.29,1.78,5.38,4.81,3.21,1.19,3.77,3.875,---,11,6.1,1.27
HSS5X3X3/16,2.58,5,3,0.1875,0.174,9.42,14.3,25.7,8.53,3.41,1.82,4.21,3.85,2.57,1.22,2.96,4.1875,2.1875,8.64,4.73,1.28
HSS5X3X1/8,1.77,5,3,0.125,0.116,6.46,22.8,40.1,6.03,2.41,1.85,2.93,2.75,1.83,1.25,2.07,4.4375,2.4375,6.02,3.26,1.3
HSS5X2-1/2X1/4,3.14,5,2.5,0.25,0.233,11.36,7.73,18.5,9.4,3.76,1.73,4.83,3.13,2.5,0.999,2.95,3.875,---,7.93,4.99,1.18
HSS5X2-1/2X3/16,2.41,5,2.5,0.1875,0.174,8.78,11.4,25.7,7.51,3.01,1.77,3.79,2.53,2.03,1.02,2.33,4.1875,---,6.26,3.89,1.2
HSS5X2-1/2X1/8,1.65,5,2.5,0.125,0.116,6.03,18.5,40.1,5.34,2.14,1.8,2.65,1.82,1.46,1.05,1.64,4.4375,---,4.4,2.7,1.22
HSS5X2X3/8,4.09,5,2,0.375,0.349,14.72,2.73,11.3,10.4,4.14,1.59,5.71,2.28,2.28,0.748,2.88,3.3125,---,6.61,5.2,1.07
HSS5X2X5/16,3.52,5,2,0.3125,0.291,12.7,3.88,14.2,9.35,3.74,1.63,5.05,2.1,2.1,0.772,2.57,3.625,---,5.99,4.59,1.08
HSS5X2X1/4,2.91,5,2,0.25,0.233,10.51,5.58,18.5,8.08,3.23,1.67,4.27,1.84,1.84,0.797,2.2,3.875,---,5.17,3.88,1.1
HSS5X2X3/16,2.24,5,2,0.1875,0.174,8.15,8.51,25.7,6.5,2.6,1.7,3.37,1.51,1.51,0.823,1.75,4.1875,---,4.15,3.05,1.12
HSS5X2X1/8,1.54,5,2,0.125,0.116,5.61,14.2,40.1,4.65,1.86,1.74,2.37,1.1,1.1,0.848,1.24,4.4375,---,2.95,2.13,1.13
HSS4-1/2X4-1/2X1/2,6.95,4.5,4.5,0.5,0.465,25.03,6.67,6.67,18.1,8.03,1.61,10.2,18.1,8.03,1.61,10.2,2.25,2.25,31.3,14.8,1.37
HSS4-1/2X4-1/2X3/8,5.48,4.5,4.5,0.375,0.349,19.82,9.89,9.89,15.3,6.79,1.67,8.36,15.3,6.79,1.67,8.36,2.8125,2.8125,25.7,11.9,1.4
HSS4-1/2X4-1/2X5/16,4.68,4.5,4.5,0.3125,0.291,16.96,12.5,12.5,13.5,6,1.7,7.27,13.5,6,1.7,7.27,3.125,3.125,22.3,10.2,1.42
HSS4-1/2X4-1/2X1/4,3.84,4.5,4.5,0.25,0.233,13.91,16.3,16.3,11.4,5.08,1.73,6.06,11.4,5.08,1.73,6.06,3.375,3.375,18.5,8.44,1.43
HSS4-1/2X4-1/2X3/16,2.93,4.5,4.5,0.1875,0.174,10.7,22.9,22.9,9.02,4.01,1.75,4.71,9.02,4.01,1.75,4.71,3.6875,3.6875,14.4,6.49,1.45
HSS4-1/2X4-1/2X1/8,2,4.5,4.5,0.125,0.116,7.31,35.8,35.8,6.35,2.82,1.78,3.27,6.35,2.82,1.78,3.27,3.9375,3.9375,9.92,4.45,1.47
HSS4X4X1/2,6.02,4,4,0.5,0.465,21.63,5.59,5.59,11.9,5.97,1.41,7.7,11.9,5.97,1.41,7.7,---,---,21,11.2,1.2
HSS4X4X3/8,4.78,4,4,0.375,0.349,17.27,8.45,8.45,10.3,5.13,1.47,6.39,10.3,5.13,1.47,6.39,2.3125,2.3125,17.5,9.14,1.23
HSS4X4X5/16,4.1,4,4,0.3125,0.291,14.83,10.8,10.8,9.14,4.57,1.49,5.59,9.14,4.57,1.49,5.59,2.625,2.625,15.3,7.91,1.25
HSS4X4X1/4,3.37,4,4,0.25,0.233,12.21,14.2,14.2,7.8,3.9,1.52,4.69,7.8,3.9,1.52,4.69,2.875,2.875,12.8,6.56,1.27
HSS4X4X3/16,2.58,4,4,0.1875,0.174,9.42,20,20,6.21,3.1,1.55,3.67,6.21,3.1,1.55,3.67,3.1875,3.1875,10,5.07,1.28
HSS4X4X1/8,1.77,4,4,0.125,0.116,6.46,31.5,31.5,4.4,2.2,1.58,2.56,4.4,2.2,1.58,2.56,3.4375,3.4375,6.91,3.49,1.3
HSS4X3X3/8,4.09,4,3,0.375,0.349,14.72,5.59,8.45,7.93,3.97,1.39,5.12,5.01,3.34,1.11,4.18,2.3125,---,10.6,6.59,1.07
HSS4X3X5/16,3.52,4,3,0.3125,0.291,12.7,7.32,10.8,7.14,3.57,1.42,4.51,4.52,3.02,1.13,3.69,2.625,---,9.41,5.75,1.08
HSS4X3X1/4,2.91,4,3,0.25,0.233,10.51,9.87,14.2,6.15,3.07,1.45,3.81,3.91,2.61,1.16,3.12,2.875,---,7.96,4.81,1.1
HSS4X3X3/16,2.24,4,3,0.1875,0.174,8.15,14.3,20,4.93,2.47,1.49,3,3.16,2.1,1.19,2.46,3.1875,---,6.26,3.74,1.12
HSS4X3X1/8,1.54,4,3,0.125,0.116,5.61,22.8,31.5,3.52,1.76,1.52,2.11,2.27,1.51,1.21,1.73,3.4375,---,4.38,2.59,1.13
HSS4X2-1/2X3/8,3.74,4,2.5,0.375,0.349,13.44,4.15,8.45,6.77,3.38,1.35,4.48,3.17,2.54,0.922,3.2,2.3125,---,7.57,5.32,0.983
HSS4X2-1/2X5/16,3.23,4,2.5,0.3125,0.291,11.64,5.6,10.8,6.13,3.07,1.38,3.97,2.89,2.32,0.947,2.85,2.625,---,6.77,4.67,1
HSS4X2-1/2X1/4,2.67,4,2.5,0.25,0.233,9.66,7.73,14.2,5.32,2.66,1.41,3.38,2.53,2.02,0.973,2.43,2.875,---,5.78,3.93,1.02
HSS4X2-1/2X3/16,2.06,4,2.5,0.1875,0.174,7.51,11.4,20,4.3,2.15,1.44,2.67,2.06,1.65,0.999,1.93,3.125,---,4.59,3.08,1.03
HSS4X2-1/2X1/8,1.42,4,2.5,0.125,0.116,5.18,18.5,31.5,3.09,1.54,1.47,1.88,1.49,1.19,1.03,1.36,3.4375,---,3.23,2.14,1.05
HSS4X2X3/8,3.39,4,2,0.375,0.349,12.17,2.73,8.45,5.6,2.8,1.29,3.84,1.8,1.8,0.729,2.31,2.3125,---,4.83,4.04,0.9
HSS4X2X5/16,2.94,4,2,0.3125,0.291,10.58,3.88,10.8,5.13,2.56,1.32,3.43,1.67,1.67,0.754,2.08,2.625,---,4.4,3.59,0.917
HSS4X2X1/4,2.44,4,2,0.25,0.233,8.81,5.58,14.2,4.49,2.25,1.36,2.94,1.48,1.48,0.779,1.79,2.875,---,3.82,3.05,0.933
HSS4X2X3/16,1.89,4,2,0.1875,0.174,6.87,8.51,20,3.66,1.83,1.39,2.34,1.22,1.22,0.804,1.43,3.1875,---,3.08,2.41,0.95
HSS4X2X1/8,1.3,4,2,0.125,0.116,4.75,14.2,31.5,2.65,1.32,1.43,1.66,0.898,0.898,0.83,1.02,3.4375,---,2.2,1.69,0.967
HSS3-1/2X3-1/2X3/8,4.09,3.5,3.5,0.375,0.349,14.72,7.02,7.02,6.49,3.71,1.26,4.69,6.49,3.71,1.26,4.69,---,---,11.2,6.77,1.07
HSS3-1/2X3-1/2X5/16,3.52,3.5,3.5,0.3125,0.291,12.7,9.04,9.04,5.84,3.34,1.29,4.14,5.84,3.34,1.29,4.14,2.125,2.125,9.89,5.9,1.08
HSS3-1/2X3-1/2X1/4,2.91,3.5,3.5,0.25,0.233,10.51,12,12,5.04,2.88,1.32,3.5,5.04,2.88,1.32,3.5,2.375,2.375,8.35,4.92,1.1
HSS3-1/2X3-1/2X3/16,2.24,3.5,3.5,0.1875,0.174,8.15,17.1,17.1,4.05,2.31,1.35,2.76,4.05,2.31,1.35,2.76,2.6875,2.6875,6.56,3.83,1.12
HSS3-1/2X3-1/2X1/8,1.54,3.5,3.5,0.125,0.116,5.61,27.2,27.2,2.9,1.66,1.37,1.93,2.9,1.66,1.37,1.93,2.9375,2.9375,4.58,2.65,1.13
HSS3-1/2X2-1/2X3/8,3.39,3.5,2.5,0.375,0.349,12.17,4.15,7.02,4.75,2.72,1.18,3.59,2.77,2.21,0.90,2.82,---,---,6.157057934,4.56670167,0.9
HSS3-1/2X2-1/2X5/16,2.94,3.5,2.5,0.3125,0.291,10.58,5.6,9.04,4.34,2.48,1.22,3.20,2.54,2.03,0.93,2.52,2.125,---,5.534306197,4.030423749,0.917
HSS3-1/2X2-1/2X1/4,2.44,3.5,2.5,0.25,0.233,8.81,7.73,12,3.79,2.17,1.25,2.74,2.23,1.78,0.96,2.16,2.375,---,4.74645835,3.402468397,0.933
HSS3-1/2X2-1/2X3/16,1.89,3.5,2.5,0.1875,0.174,6.87,11.4,17.1,3.09,1.76,1.28,2.18,1.82,1.46,0.98,1.72,2.6875,---,3.779345445,2.671874551,0.95
HSS3-1/2X2-1/2X1/8,1.3,3.5,2.5,0.125,0.116,4.75,18.5,27.2,2.23,1.28,1.31,1.54,1.33,1.06,1.01,1.22,2.9375,---,2.670100165,1.865620311,0.967
HSS3-1/2X2X1/4,2.21,3.5,2,0.25,0.233,7.96,5.58,12,3.17,1.81,1.2,2.36,1.3,1.3,0.766,1.58,2.375,---,3.16,2.64,0.85
HSS3-1/2X2X3/16,1.71,3.5,2,0.1875,0.174,6.23,8.51,17.1,2.61,1.49,1.23,1.89,1.08,1.08,0.792,1.27,2.6875,---,2.55,2.09,0.867
HSS3-1/2X2X1/8,1.19,3.5,2,0.125,0.116,4.33,14.2,27.2,1.9,1.09,1.27,1.34,0.795,0.795,0.818,0.912,2.9375,---,1.83,1.47,0.883
HSS3-1/2X1-1/2X1/4,1.97,3.5,1.5,0.25,0.233,7.11,3.44,12,2.55,1.46,1.14,1.98,0.638,0.851,0.569,1.06,2.375,---,1.79,1.88,0.767
HSS3-1/2X1-1/2X3/16,1.54,3.5,1.5,0.1875,0.174,5.59,5.62,17.1,2.12,1.21,1.17,1.6,0.544,0.725,0.594,0.867,2.6875,---,1.49,1.51,0.784
HSS3-1/2X1-1/2X1/8,1.07,3.5,1.5,0.125,0.116,3.9,9.91,27.2,1.57,0.896,1.21,1.15,0.411,0.548,0.619,0.63,2.9375,---,1.09,1.08,0.8
HSS3X3X3/8,3.39,3,3,0.375,0.349,12.17,5.59,5.59,3.78,2.52,1.06,3.25,3.78,2.52,1.06,3.25,---,---,6.64,4.74,0.9
HSS3X3X5/16,2.94,3,3,0.3125,0.291,10.58,7.32,7.32,3.45,2.3,1.08,2.9,3.45,2.3,1.08,2.9,---,---,5.94,4.18,0.917
HSS3X3X1/4,2.44,3,3,0.25,0.233,8.81,9.87,9.87,3.02,2.01,1.11,2.48,3.02,2.01,1.11,2.48,---,---,5.08,3.52,0.933
HSS3X3X3/16,1.89,3,3,0.1875,0.174,6.87,14.3,14.3,2.46,1.64,1.14,1.97,2.46,1.64,1.14,1.97,2.1875,2.1875,4.03,2.76,0.95
HSS3X3X1/8,1.3,3,3,0.125,0.116,4.75,22.8,22.8,1.78,1.19,1.17,1.4,1.78,1.19,1.17,1.4,2.4375,2.4375,2.84,1.92,0.967
HSS3X2-1/2X5/16,2.64,3,2.5,0.3125,0.291,9.51,5.6,7.32,2.92,1.94,1.05,2.51,2.18,1.74,0.908,2.2,---,---,4.34,3.39,0.833
HSS3X2-1/2X1/4,2.21,3,2.5,0.25,0.233,7.96,7.73,9.87,2.57,1.72,1.08,2.16,1.93,1.54,0.935,1.9,---,---,3.74,2.87,0.85
HSS3X2-1/2X3/16,1.71,3,2.5,0.1875,0.174,6.23,11.4,14.3,2.11,1.41,1.11,1.73,1.59,1.27,0.963,1.52,2.1875,---,3,2.27,0.867
HSS3X2-1/2X1/8,1.19,3,2.5,0.125,0.116,4.33,18.5,22.8,1.54,1.03,1.14,1.23,1.16,0.931,0.99,1.09,2.4375,---,2.13,1.59,0.883
HSS3X2X5/16,2.35,3,2,0.3125,0.291,8.45,3.88,7.32,2.38,1.59,1.01,2.11,1.24,1.24,0.725,1.58,---,---,2.87,2.6,0.75
HSS3X2X1/4,1.97,3,2,0.25,0.233,7.11,5.58,9.87,2.13,1.42,1.04,1.83,1.11,1.11,0.751,1.38,---,---,2.52,2.23,0.767
HSS3X2X3/16,1.54,3,2,0.1875,0.174,5.59,8.51,14.3,1.77,1.18,1.07,1.48,0.932,0.932,0.778,1.12,2.1875,---,2.05,1.78,0.784
HSS3X2X1/8,1.07,3,2,0.125,0.116,3.9,14.2,22.8,1.3,0.867,1.1,1.06,0.692,0.692,0.804,0.803,2.4375,---,1.47,1.25,0.8
HSS3X1-1/2X1/4,1.74,3,1.5,0.25,0.233,6.26,3.44,9.87,1.68,1.12,0.982,1.51,0.543,0.725,0.559,0.911,1.875,---,1.44,1.58,0.683
HSS3X1-1/2X3/16,1.37,3,1.5,0.1875,0.174,4.96,5.62,14.3,1.42,0.945,1.02,1.24,0.467,0.622,0.584,0.752,2.1875,---,1.21,1.28,0.7
HSS3X1-1/2X1/8,0.956,3,1.5,0.125,0.116,3.48,9.91,22.8,1.06,0.706,1.05,0.895,0.355,0.474,0.61,0.55,2.4375,---,0.886,0.92,0.717
HSS3X1X3/16,1.19,3,1,0.1875,0.174,4.32,2.75,14.3,1.07,0.713,0.947,0.989,0.173,0.345,0.38,0.432,2.1875,---,0.526,0.792,0.617
HSS3X1X1/8,0.84,3,1,0.125,0.116,3.05,5.62,22.8,0.817,0.545,0.987,0.728,0.138,0.276,0.405,0.325,2.4375,---,0.408,0.585,0.633
HSS2-1/2X2-1/2X5/16,2.35,2.5,2.5,0.3125,0.291,8.45,5.6,5.6,1.82,1.46,0.88,1.88,1.82,1.46,0.88,1.88,---,---,3.2,2.74,0.75
HSS2-1/2X2-1/2X1/4,1.97,2.5,2.5,0.25,0.233,7.11,7.73,7.73,1.63,1.3,0.908,1.63,1.63,1.3,0.908,1.63,---,---,2.79,2.35,0.767
HSS2-1/2X2-1/2X3/16,1.54,2.5,2.5,0.1875,0.174,5.59,11.4,11.4,1.35,1.08,0.937,1.32,1.35,1.08,0.937,1.32,---,---,2.25,1.86,0.784
HSS2-1/2X2-1/2X1/8,1.07,2.5,2.5,0.125,0.116,3.9,18.5,18.5,0.998,0.799,0.965,0.947,0.998,0.799,0.965,0.947,---,---,1.61,1.31,0.8
HSS2-1/2X2X1/4,1.74,2.5,2,0.25,0.233,6.26,5.58,7.73,1.33,1.06,0.874,1.37,0.93,0.93,0.731,1.17,---,---,1.9,1.82,0.683
HSS2-1/2X2X3/16,1.37,2.5,2,0.1875,0.174,4.96,8.51,11.4,1.12,0.894,0.904,1.12,0.786,0.786,0.758,0.956,---,---,1.55,1.46,0.7
HSS2-1/2X2X1/8,0.956,2.5,2,0.125,0.116,3.48,14.2,18.5,0.833,0.667,0.934,0.809,0.589,0.589,0.785,0.694,---,---,1.12,1.04,0.717
HSS2-1/2X1-1/2X1/4,1.51,2.5,1.5,0.25,0.233,5.41,3.44,7.73,1.03,0.822,0.826,1.11,0.449,0.599,0.546,0.764,---,---,1.1,1.29,0.6
HSS2-1/2X1-1/2X3/16,1.19,2.5,1.5,0.1875,0.174,4.32,5.62,11.4,0.882,0.705,0.86,0.915,0.39,0.52,0.572,0.636,---,---,0.929,1.05,0.617
HSS2-1/2X1-1/2X1/8,0.84,2.5,1.5,0.125,0.116,3.05,9.91,18.5,0.668,0.535,0.892,0.671,0.3,0.399,0.597,0.469,---,---,0.687,0.759,0.633
HSS2-1/2X1X3/16,1.02,2.5,1,0.1875,0.174,3.68,2.75,11.4,0.646,0.517,0.796,0.713,0.143,0.285,0.374,0.36,---,---,0.412,0.648,0.534
HSS2-1/2X1X1/8,0.724,2.5,1,0.125,0.116,2.63,5.62,18.5,0.503,0.403,0.834,0.532,0.115,0.23,0.399,0.274,---,---,0.322,0.483,0.55
HSS2-1/4X2-1/4X1/4,1.74,2.25,2.25,0.25,0.233,6.26,6.65,6.65,1.13,1.01,0.806,1.28,1.13,1.01,0.806,1.28,---,---,1.96,1.85,0.683
HSS2-1/4X2-1/4X3/16,1.37,2.25,2.25,0.1875,0.174,4.96,9.94,9.94,0.953,0.847,0.835,1.04,0.953,0.847,0.835,1.04,---,---,1.6,1.48,0.7
HSS2-1/4X2-1/4X1/8,0.956,2.25,2.25,0.125,0.116,3.48,16.4,16.4,0.712,0.633,0.863,0.755,0.712,0.633,0.863,0.755,---,---,1.15,1.05,0.717
HSS2-1/4X2X3/16,1.28,2.25,2,0.1875,0.174,4.64,8.51,9.94,0.859,0.764,0.819,0.952,0.713,0.713,0.747,0.877,---,---,1.32,1.3,0.659
HSS2-1/4X2X1/8,0.898,2.25,2,0.125,0.116,3.27,14.2,16.4,0.646,0.574,0.848,0.693,0.538,0.538,0.774,0.639,---,---,0.957,0.927,0.675
HSS2X2X1/4,1.51,2,2,0.25,0.233,5.41,5.58,5.58,0.747,0.747,0.704,0.964,0.747,0.747,0.704,0.964,---,---,1.31,1.41,0.6
HSS2X2X3/16,1.19,2,2,0.1875,0.174,4.32,8.51,8.51,0.641,0.641,0.733,0.797,0.641,0.641,0.733,0.797,---,---,1.09,1.14,0.617
HSS2X2X1/8,0.84,2,2,0.125,0.116,3.05,14.2,14.2,0.486,0.486,0.761,0.584,0.486,0.486,0.761,0.584,---,---,0.796,0.817,0.633
HSS2X1-1/2X3/16,1.02,2,1.5,0.1875,0.174,3.68,5.62,8.51,0.495,0.495,0.697,0.639,0.313,0.417,0.554,0.521,---,---,0.664,0.822,0.534
HSS2X1-1/2X1/8,0.724,2,1.5,0.125,0.116,2.63,9.91,14.2,0.383,0.383,0.728,0.475,0.244,0.325,0.581,0.389,---,---,0.496,0.599,0.55
HSS2X1X3/16,0.845,2,1,0.1875,0.174,3.04,2.75,8.51,0.35,0.35,0.643,0.48,0.112,0.225,0.365,0.288,---,---,0.301,0.505,0.45
HSS2X1X1/8,0.608,2,1,0.125,0.116,2.2,5.62,14.2,0.28,0.28,0.679,0.366,0.0922,0.184,0.39,0.223,---,---,0.238,0.38,0.467