Shape,A,d,tw,bf,tf,k(des),k(det),k1,T,gage,wt./ft.,bf/(2*tf),h/tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw,Wno,Sw1,Qf,Qw
W12X30,8.79,12.3,0.26,6.52,0.44,0.74,1.125,0.75,10.125,3.5,30,7.41,41.8,238,38.6,5.21,43.1,20.3,6.24,1.52,9.56,1.77,11.9,0.457,720,19.3,13.9,8.17,21.3
W12X26,7.65,12.2,0.23,6.49,0.38,0.68,1.0625,0.75,10.125,3.5,26,8.54,47.2,204,33.4,5.17,37.2,17.3,5.34,1.51,8.17,1.75,11.8,0.3,607,19.2,11.8,7.03,18.3
W12X22,6.48,12.3,0.26,4.03,0.425,0.725,0.9375,0.625,10.375,2.25,22,4.74,41.8,156,25.4,4.91,29.3,4.66,2.31,0.848,3.66,1.04,11.9,0.293,164,12,5.12,4.76,14.4
W12X19,5.57,12.2,0.235,4.01,0.35,0.65,0.875,0.5625,10.375,2.25,19,5.72,46.2,130,21.3,4.82,24.7,3.76,1.88,0.822,2.98,1.02,11.9,0.18,131,11.9,4.17,3.91,12.2
W12X16,4.71,12,0.22,3.99,0.265,0.565,0.8125,0.5625,10.375,2.25,16,7.53,49.4,103,17.1,4.67,20.1,2.82,1.41,0.773,2.26,0.983,11.7,0.103,96.9,11.7,3.09,2.93,9.82
W12X14,4.16,11.9,0.2,3.97,0.225,0.525,0.75,0.5625,10.375,2.25,14,8.82,54.3,88.6,14.9,4.62,17.4,2.36,1.19,0.753,1.9,0.961,11.7,0.0704,80.4,11.6,2.59,2.48,8.49
W10X112,32.9,11.4,0.755,10.4,1.25,1.75,1.9375,1,7.5,5.5,112,4.17,10.4,716,126,4.66,147,236,45.3,2.68,69.2,3.08,10.2,15.1,6020,26.4,85.8,30.6,73.5
W10X100,29.3,11.1,0.68,10.3,1.12,1.62,1.8125,1,7.5,5.5,100,4.62,11.6,623,112,4.6,130,207,40,2.65,61,3.04,10,10.9,5150,25.7,74.1,26.9,64.2
W10X88,26,10.8,0.605,10.3,0.99,1.49,1.6875,0.9375,7.5,5.5,88,5.18,13,534,98.5,4.54,113,179,34.8,2.63,53.1,2.99,9.81,7.53,4330,25.3,64.4,23.5,55.9
W10X77,22.7,10.6,0.53,10.2,0.87,1.37,1.5625,0.875,7.5,5.5,77,5.86,14.8,455,85.9,4.49,97.6,154,30.1,2.6,45.9,2.95,9.73,5.11,3630,24.8,55,20.5,48.4
W10X68,19.9,10.4,0.47,10.1,0.77,1.27,1.4375,0.875,7.5,5.5,68,6.58,16.7,394,75.7,4.44,85.3,134,26.4,2.59,40.1,2.92,9.63,3.56,3100,24.3,47.3,17.9,42.1
W10X60,17.7,10.2,0.42,10.1,0.68,1.18,1.375,0.8125,7.5,5.5,60,7.41,18.7,341,66.7,4.39,74.6,116,23,2.57,35,2.88,9.52,2.48,2640,24,41.3,15.7,36.8
W10X54,15.8,10.1,0.37,10,0.615,1.12,1.3125,0.8125,7.5,5.5,54,8.15,21.2,303,60,4.37,66.6,103,20.6,2.56,31.3,2.85,9.49,1.82,2320,23.7,36.5,14,32.8
W10X49,14.4,10,0.34,10,0.56,1.06,1.25,0.8125,7.5,5.5,49,8.93,23.1,272,54.6,4.35,60.4,93.4,18.7,2.54,28.3,2.84,9.44,1.39,2070,23.6,33,12.8,29.8
W10X45,13.3,10.1,0.35,8.02,0.62,1.12,1.3125,0.8125,7.5,5.5,45,6.47,22.5,248,49.1,4.32,54.9,53.4,13.3,2.01,20.3,2.27,9.48,1.51,1200,19,23.6,11.3,27
W10X39,11.5,9.92,0.315,7.99,0.53,1.03,1.1875,0.8125,7.5,5.5,39,7.53,25,209,42.1,4.27,46.8,45,11.3,1.98,17.2,2.24,9.39,0.976,992,18.8,19.9,9.55,23
W10X33,9.71,9.73,0.29,7.96,0.435,0.935,1.125,0.75,7.5,5.5,33,9.15,27.1,171,35,4.19,38.8,36.6,9.2,1.94,14,2.2,9.3,0.583,791,18.5,16,7.75,18.9
W10X30,8.84,10.5,0.3,5.81,0.51,0.81,1.125,0.6875,8.25,2.75,30,5.7,29.5,170,32.4,4.38,36.6,16.7,5.75,1.37,8.84,1.6,9.99,0.622,414,14.5,10.7,7.02,18.2
W10X26,7.61,10.3,0.26,5.77,0.44,0.74,1.0625,0.6875,8.25,2.75,26,6.56,34,144,27.9,4.35,31.3,14.1,4.89,1.36,7.5,1.58,9.86,0.402,345,14.2,9.03,5.98,15.4
W10X22,6.49,10.2,0.24,5.75,0.36,0.66,0.9375,0.625,8.25,2.75,22,7.99,36.9,118,23.2,4.27,26,11.4,3.97,1.33,6.1,1.55,9.84,0.239,275,14.1,7.32,4.88,12.9
W10X19,5.62,10.2,0.25,4.02,0.395,0.695,0.9375,0.625,8.375,2.25,19,5.09,35.4,96.3,18.8,4.14,21.6,4.29,2.14,0.874,3.35,1.06,9.81,0.233,104,9.85,3.91,3.65,10.6
W10X17,4.99,10.1,0.24,4.01,0.33,0.63,0.875,0.5625,8.375,2.25,17,6.08,36.9,81.9,16.2,4.05,18.7,3.56,1.78,0.845,2.8,1.04,9.77,0.156,85.1,9.79,3.24,3.04,9.14
W10X15,4.41,9.99,0.23,4,0.27,0.57,0.8125,0.5625,8.375,2.25,15,7.41,38.5,68.9,13.8,3.95,16,2.89,1.45,0.81,2.3,1.01,9.72,0.104,68.3,9.73,2.63,2.48,7.83
W10X12,3.54,9.87,0.19,3.96,0.21,0.51,0.75,0.5625,8.375,2.25,12,9.43,46.6,53.8,10.9,3.9,12.6,2.18,1.1,0.785,1.74,0.983,9.66,0.0547,50.9,9.56,1.99,1.91,6.14
W8X67,19.7,9,0.57,8.28,0.935,1.33,1.625,0.9375,5.75,5.5,67,4.43,11.1,272,60.4,3.72,70.1,88.6,21.4,2.12,32.7,2.43,8.07,5.05,1440,16.7,32.3,14.5,34.8
W8X58,17.1,8.75,0.51,8.22,0.81,1.2,1.5,0.875,5.75,5.5,58,5.07,12.4,228,52,3.65,59.8,75.1,18.3,2.1,27.9,2.39,7.94,3.33,1180,16.3,27.2,12.4,29.7
W8X48,14.1,8.5,0.4,8.11,0.685,1.08,1.375,0.8125,5.75,5.5,48,5.92,15.9,184,43.2,3.61,49,60.9,15,2.08,22.9,2.35,7.82,1.96,931,15.8,22,10.3,24.2
W8X40,11.7,8.25,0.36,8.07,0.56,0.954,1.25,0.8125,5.75,5.5,40,7.21,17.6,146,35.5,3.53,39.8,49.1,12.2,2.04,18.5,2.31,7.69,1.12,726,15.5,17.5,8.3,19.7
W8X35,10.3,8.12,0.31,8.02,0.495,0.889,1.1875,0.8125,5.75,5.5,35,8.1,20.5,127,31.2,3.51,34.7,42.6,10.6,2.03,16.1,2.28,7.63,0.769,619,15.3,15.2,7.28,17.1
W8X31,9.13,8,0.285,8,0.435,0.829,1.125,0.75,5.75,5.5,31,9.19,22.3,110,27.5,3.47,30.4,37.1,9.27,2.02,14.1,2.26,7.57,0.536,530,15.1,13.2,6.35,15
W8X28,8.25,8.06,0.285,6.54,0.465,0.859,0.9375,0.625,6.125,3.5,28,7.03,22.3,98,24.3,3.45,27.2,21.7,6.63,1.62,10.1,1.84,7.6,0.537,312,12.4,9.44,5.52,13.4
W8X24,7.08,7.93,0.245,6.5,0.4,0.794,0.875,0.5625,6.125,3.5,24,8.12,25.9,82.7,20.9,3.42,23.1,18.3,5.63,1.61,8.57,1.81,7.53,0.346,259,12.2,7.95,4.71,11.3
W8X21,6.16,8.28,0.25,5.27,0.4,0.7,0.875,0.5625,6.5,2.75,21,6.59,27.5,75.3,18.2,3.49,20.4,9.77,3.71,1.26,5.69,1.46,7.88,0.282,152,10.4,5.47,3.96,10.1
W8X18,5.26,8.14,0.23,5.25,0.33,0.63,0.8125,0.5625,6.5,2.75,18,7.95,29.9,61.9,15.2,3.43,17,7.97,3.04,1.23,4.66,1.43,7.81,0.172,122,10.3,4.44,3.23,8.37
W8X15,4.44,8.11,0.245,4.015,0.315,0.615,0.8125,0.5625,6.5,2.25,15,6.37,28.1,48,11.8,3.29,13.6,3.41,1.7,0.876,2.67,1.06,7.8,0.137,51.8,7.81,2.47,2.31,6.64
W8X13,3.84,7.99,0.23,4,0.255,0.555,0.75,0.5625,6.5,2.25,13,7.84,29.9,39.6,9.91,3.21,11.4,2.73,1.37,0.843,2.15,1.03,7.74,0.0871,40.8,7.74,1.97,1.86,5.55
W8X10,2.96,7.89,0.17,3.94,0.205,0.505,0.6875,0.5,6.5,2.25,10,9.61,40.5,30.8,7.81,3.22,8.87,2.09,1.06,0.841,1.66,1.01,7.69,0.0426,30.9,7.57,1.53,1.48,4.29
W6X25,7.34,6.38,0.32,6.08,0.455,0.705,0.9375,0.5625,4.5,3.5,25,6.68,15.5,53.4,16.7,2.7,18.9,17.1,5.61,1.52,8.56,1.74,5.93,0.461,150,9.01,6.23,3.88,9.39
W6X20,5.87,6.2,0.26,6.02,0.365,0.615,0.875,0.5625,4.5,3.5,20,8.25,19.1,41.4,13.4,2.66,15,13.3,4.41,1.5,6.72,1.7,5.84,0.24,113,8.78,4.82,3.07,7.38
W6X15,4.43,5.99,0.23,5.99,0.26,0.51,0.75,0.5625,4.5,3.5,15,11.5,21.6,29.1,9.72,2.56,10.8,9.32,3.11,1.45,4.75,1.66,5.73,0.101,76.5,8.58,3.34,2.15,5.32
W6X16,4.74,6.28,0.26,4.03,0.405,0.655,0.875,0.5625,4.5,2.25,16,4.98,19.1,32.1,10.2,2.6,11.7,4.43,2.2,0.967,3.39,1.13,5.88,0.223,38.2,5.92,2.42,2.24,5.77
W6X12,3.55,6.03,0.23,4,0.28,0.53,0.75,0.5625,4.5,2.25,12,7.14,21.6,22.1,7.31,2.49,8.3,2.99,1.5,0.918,2.32,1.08,5.75,0.0903,24.7,5.75,1.61,1.52,4.08
W6X9,2.68,5.9,0.17,3.94,0.215,0.465,0.6875,0.5,4.5,2.25,9,9.16,29.2,16.4,5.56,2.47,6.23,2.2,1.11,0.905,1.72,1.06,5.69,0.0405,17.7,5.6,1.19,1.15,3.04
W6X8.5,2.52,5.83,0.17,3.94,0.195,0.445,0.6875,0.5,4.5,2.25,8.5,10.1,29.1,14.9,5.1,2.43,5.73,1.99,1.01,0.89,1.56,1.05,5.64,0.0333,15.8,5.55,1.06,1.03,2.78
W5X19,5.56,5.15,0.27,5.03,0.43,0.73,0.8125,0.4375,3.5,2.75,19,5.85,13.7,26.3,10.2,2.17,11.6,9.13,3.63,1.28,5.53,1.45,4.72,0.316,50.9,5.94,3.21,2.42,5.73
W5X16,4.71,5.01,0.24,5,0.36,0.66,0.75,0.4375,3.5,2.75,16,6.94,15.4,21.4,8.55,2.13,9.63,7.51,3,1.26,4.58,1.43,4.65,0.192,40.6,5.81,2.62,1.99,4.74
W4X13,3.83,4.16,0.28,4.06,0.345,0.595,0.75,0.5,2.625,2.25,13,5.88,10.6,11.3,5.46,1.72,6.28,3.86,1.9,1,2.92,1.16,3.82,0.151,14,3.87,1.36,1.24,3.09
M12.5X12.4,3.63,12.5,0.155,3.75,0.228,0.563,0.5625,0.375,11.375,---,12.4,8.22,74.8,89.3,14.2,4.96,16.5,2.01,1.07,0.744,1.68,0.933,12.3,0.0493,76,11.5,2.46,2.51,8.06
M12.5X11.6,3.4,12.5,0.155,3.5,0.211,0.563,0.5625,0.375,11.375,---,11.6,8.29,74.8,80.3,12.8,4.86,15,1.51,0.864,0.667,1.37,0.852,12.3,0.0414,57.1,10.8,1.99,2.17,7.36
M12X11.8,3.47,12,0.177,3.07,0.225,0.563,0.5625,0.375,10.875,---,11.8,6.81,62.5,72.2,12,4.56,14.3,1.09,0.709,0.559,1.15,0.731,11.8,0.05,37.7,9.04,1.56,1.92,7.02
M12X10.8,3.18,11.97,0.16,3.07,0.21,0.563,0.5625,0.375,10.875,---,10.8,7.3,69.2,66.7,11.1,4.58,13.2,1.01,0.661,0.564,1.07,0.732,11.8,0.0393,35,9.05,1.46,1.8,6.48
M12X10,2.95,11.97,0.149,3.25,0.18,0.5,0.5,0.375,11,---,10,9.03,74.7,61.7,10.3,4.57,12.2,1.03,0.636,0.592,1.02,0.768,11.8,0.0292,35.9,9.6,1.4,1.65,5.98
M10X9,2.65,10,0.157,2.69,0.206,0.563,0.5625,0.375,8.875,---,9,6.53,58.4,39,7.79,3.83,9.22,0.672,0.5,0.503,0.809,0.65,9.79,0.0314,16.1,6.59,0.91,1.28,4.52
M10X8,2.37,9.95,0.141,2.69,0.182,0.563,0.5625,0.375,8.875,---,8,7.39,65,34.6,6.95,3.82,8.2,0.593,0.441,0.5,0.711,0.646,9.77,0.0224,14.2,6.57,0.8,1.13,4.01
M10X7.5,2.22,9.99,0.13,2.69,0.173,0.438,0.4375,0.3125,9.125,---,7.5,7.77,71,33,6.6,3.85,7.77,0.562,0.418,0.503,0.67,0.646,9.82,0.0187,13.5,6.6,0.77,1.09,3.8
M8X6.5,1.92,8,0.135,2.28,0.189,0.563,0.5625,0.375,6.875,---,6.5,6.03,53.8,18.5,4.63,3.11,5.43,0.376,0.329,0.443,0.529,0.563,7.81,0.0184,5.73,4.45,0.48,0.79,2.66
M8X6.2,1.82,8,0.129,2.28,0.177,0.438,0.4375,0.25,7.125,---,6.2,6.44,56.5,17.6,4.39,3.1,5.15,0.352,0.308,0.439,0.495,0.56,7.82,0.0156,5.38,4.46,0.45,0.74,2.52
M6X4.4,1.29,6,0.114,1.84,0.171,0.375,0.375,0.25,5.25,---,4.4,5.39,47,7.23,2.41,2.36,2.8,0.18,0.195,0.372,0.311,0.467,5.83,0.0099,1.53,2.68,0.21,0.43,1.37
M6X3.7,1.09,5.92,0.098,2,0.129,0.313,0.3125,0.25,5.25,---,3.7,7.75,54.7,5.96,2.01,2.34,2.33,0.173,0.173,0.398,0.273,0.499,5.79,0.0053,1.45,2.9,0.19,0.36,1.14
M5X18.9,5.56,5,0.316,5,0.416,0.813,0.8125,0.5,3.375,2.75,18.9,6.01,11.2,24.2,9.67,2.08,11.1,8.7,3.48,1.25,5.33,1.44,4.58,0.313,45.7,5.73,2.98,2.23,5.45
M4X6,1.75,3.8,0.13,3.8,0.16,0.5,0.5,0.375,2.75,---,6,11.9,22,4.72,2.48,1.64,2.74,1.47,0.771,0.915,1.18,1.04,3.64,0.0184,4.87,3.46,0.53,0.53,1.3
M4X4.08,1.27,4,0.115,2.25,0.17,0.563,0.5625,0.375,2.875,---,4.08,6.62,26.4,3.53,1.77,1.67,2,0.325,0.289,0.506,0.453,0.593,3.83,0.0147,1.19,2.15,0.21,0.35,0.93
M4X3.45,1.01,4,0.092,2.25,0.13,0.5,0.5,0.375,3,---,3.45,8.65,33.9,2.86,1.43,1.68,1.6,0.248,0.221,0.496,0.346,0.58,3.87,0.0082,0.93,2.18,0.16,0.27,0.73
M4X3.2,1.01,4,0.092,2.25,0.13,0.5,0.5,0.375,3,---,3.2,8.65,33.9,2.86,1.43,1.68,1.6,0.248,0.221,0.496,0.346,0.58,3.87,0.0082,0.93,2.18,0.16,0.27,0.73
M3X2.9,0.914,3,0.09,2.25,0.13,0.5,0.5,0.375,2,---,2.9,8.65,23.6,1.5,1,1.28,1.12,0.248,0.221,0.521,0.344,0.597,2.87,0.0079,0.511,1.61,0.12,0.2,0.5
S24X121,35.5,24.5,0.8,8.05,1.09,2,2,–,20.5,4,121,3.69,25.9,3160,258,9.43,306,83,20.6,1.53,36.3,1.94,23.4,12.8,11400,47.1,103,46.2,153
S24X106,31.1,24.5,0.62,7.87,1.09,2,2,–,20.5,4,106,3.61,33.4,2940,240,9.71,279,76.8,19.5,1.57,33.4,1.93,23.4,10.1,10500,46.1,98.8,46.2,139
S24X100,29.3,24,0.745,7.25,0.87,1.75,1.75,–,20.5,4,100,4.16,27.8,2380,199,9.01,239,47.4,13.1,1.27,24,1.66,23.1,7.59,6350,41.9,66,32.7,119
S24X90,26.5,24,0.625,7.13,0.87,1.75,1.75,–,20.5,4,90,4.09,33.1,2250,187,9.21,222,44.7,12.5,1.3,22.4,1.66,23.1,6.05,5980,41.2,63.8,32.7,110
S24X80,23.5,24,0.5,7,0.87,1.75,1.75,–,20.5,4,80,4.02,41.4,2100,175,9.47,204,42,12,1.34,20.8,1.67,23.1,4.89,5620,40.5,61.6,32.7,101
S20X96,28.2,20.3,0.8,7.2,0.92,1.75,1.75,–,16.75,4,96,3.91,21.1,1670,165,7.71,198,49.9,13.9,1.33,24.9,1.71,19.4,8.4,4690,34.9,57.8,28.5,98.3
S20X86,25.3,20.3,0.66,7.06,0.92,1.75,1.75,–,16.75,4,86,3.84,25.6,1570,155,7.89,183,46.6,13.2,1.36,23.1,1.71,19.4,6.65,4370,34.2,55.5,28.5,91.1
S20X75,22,20,0.635,6.39,0.795,1.63,1.625,–,16.75,3.5,75,4.02,26.6,1280,128,7.62,152,29.5,9.25,1.16,16.7,1.49,19.2,4.59,2720,30.7,38.9,21.9,75.6
S20X66,19.4,20,0.505,6.26,0.795,1.63,1.625,–,16.75,3.5,66,3.93,33.5,1190,119,7.83,139,27.5,8.78,1.19,15.4,1.49,19.2,3.58,2530,30,37.3,21.9,69.1
S18X70,20.5,18,0.711,6.25,0.691,1.5,1.5,–,15,3.5,70,4.52,21.5,923,103,6.7,124,24,7.69,1.08,14.3,1.42,17.3,4.1,1800,27,29.2,16.6,61.9
S18X54.7,16,18,0.461,6,0.691,1.5,1.5,–,15,3.5,54.7,4.34,33.2,801,89,7.07,104,20.7,6.91,1.14,12.1,1.42,17.3,2.33,1550,26,26.9,16.6,51.8
S15X50,14.7,15,0.55,5.64,0.622,1.38,1.375,–,12.25,3.5,50,4.53,22.7,485,64.7,5.75,77,15.6,5.53,1.03,10,1.32,14.4,2.12,805,20.3,17.8,11.4,38.2
S15X42.9,12.6,15,0.411,5.5,0.622,1.38,1.375,–,12.25,3.5,42.9,4.42,30.4,446,59.4,5.95,69.2,14.3,5.19,1.06,9.08,1.31,14.4,1.54,737,19.8,16.9,11.4,34.3
S12X50,14.7,12,0.687,5.48,0.659,1.44,1.4375,–,9.125,3,50,4.16,13.7,303,50.6,4.55,60.9,15.6,5.69,1.03,10.3,1.32,11.3,2.77,501,15.5,14,8.95,30.3
S12X40.8,11.9,12,0.462,5.25,0.659,1.44,1.4375,–,9.125,3,40.8,3.98,20.6,270,45.1,4.76,52.7,13.5,5.13,1.06,8.86,1.3,11.3,1.69,433,14.9,12.9,8.95,26.2
S12X35,10.2,12,0.428,5.08,0.544,1.19,1.1875,–,9.625,3,35,4.67,23.1,228,38.1,4.72,44.6,9.84,3.88,0.98,6.8,1.22,11.5,1.05,323,14.5,10,7.24,22.2
S12X31.8,9.31,12,0.35,5,0.544,1.19,1.1875,–,9.625,3,31.8,4.6,28.3,217,36.2,4.83,41.8,9.33,3.73,1,6.44,1.21,11.5,0.878,306,14.3,9.74,7.24,20.8
S10X35,10.3,10,0.594,4.94,0.491,1.13,1.125,–,7.75,2.75,35,5.03,13.4,147,29.4,3.78,35.4,8.3,3.36,0.899,6.19,1.16,9.51,1.29,188,11.8,7.13,5.08,17.6
S10X25.4,7.45,10,0.311,4.66,0.491,1.13,1.125,–,7.75,2.75,25.4,4.75,25.6,123,24.6,4.07,28.3,6.73,2.89,0.95,4.99,1.14,9.51,0.603,152,11.1,6.34,5.08,14
S8X23,6.76,8,0.441,4.17,0.425,1,1,–,6,2.25,23,4.91,14.1,64.7,16.2,3.09,19.2,4.27,2.05,0.795,3.67,0.999,7.58,0.55,61.2,7.9,3.5,3,9.53
S8X18.4,5.4,8,0.271,4,0.425,1,1,–,6,2.25,18.4,4.71,22.9,57.5,14.4,3.26,16.5,3.69,1.84,0.827,3.18,0.985,7.58,0.335,52.9,7.58,3.22,3,8.17
S6X17.25,5.05,6,0.465,3.57,0.359,0.813,0.8125,–,4.375,---,17.25,4.97,9.67,26.2,8.74,2.28,10.5,2.29,1.28,0.673,2.35,0.859,5.64,0.371,18.2,5.03,1.61,1.57,5.23
S6X12.5,3.66,6,0.232,3.33,0.359,0.813,0.8125,–,4.375,---,12.5,4.64,19.4,22,7.34,2.45,8.45,1.8,1.08,0.702,1.86,0.831,5.64,0.167,14.3,4.7,1.41,1.57,4.18
S5X10,2.93,5,0.214,3,0.326,0.75,0.75,–,3.5,---,10,4.61,16.8,12.3,4.9,2.05,5.66,1.19,0.795,0.638,1.37,0.754,4.67,0.114,6.52,3.51,0.859,1.06,2.79
S4X9.5,2.79,4,0.326,2.8,0.293,0.75,0.75,–,2.5,---,9.5,4.77,8.33,6.76,3.38,1.56,4.04,0.887,0.635,0.564,1.13,0.698,3.71,0.12,3.05,2.59,0.531,0.671,1.99
S4X7.7,2.26,4,0.193,2.66,0.293,0.75,0.75,–,2.5,---,7.7,4.54,14.1,6.05,3.03,1.64,3.5,0.748,0.562,0.576,0.97,0.676,3.71,0.0732,2.57,2.47,0.481,0.671,1.73
S3X7.5,2.2,3,0.349,2.51,0.26,0.625,0.625,–,1.75,---,7.5,4.83,5.38,2.91,1.94,1.15,2.35,0.578,0.461,0.513,0.821,0.638,2.74,0.0896,1.08,1.72,0.28,0.385,1.16
S3X5.7,1.66,3,0.17,2.33,0.26,0.625,0.625,–,1.75,---,5.7,4.48,11,2.5,1.67,1.23,1.94,0.447,0.383,0.518,0.656,0.605,2.74,0.0433,0.838,1.6,0.242,0.385,0.961
HP18X204,60.2,18.3,1.13,18.1,1.13,2.31,2.3125,1.75,13.5,7.5,204,8.01,12.1,3480,380,7.6,433,1120,124,4.31,191,5.03,17.2,29.5,82500,77.7,397,82.3,212
HP18X181,53.2,18,1,18,1,2.18,2.1875,1.68,13.5,7.5,181,9,13.6,3020,336,7.53,379,974,108,4.28,167,4.96,17,20.7,70400,76.5,344,72.3,185
HP18X157,46.2,17.7,0.87,17.9,0.87,2.05,2.0625,1.62,13.5,7.5,157,10.3,15.6,2570,290,7.46,327,833,93.1,4.25,143,4.92,16.8,13.9,59000,75.3,293,62.3,159
HP18X135,39.9,17.5,0.75,17.8,0.75,1.93,1.9375,1.56,13.5,7.5,135,11.9,18.2,2200,251,7.43,281,706,79.3,4.21,122,4.85,16.8,9.12,49500,74.5,249,53.5,136
HP16X183,54.1,16.5,1.13,16.3,1.13,2.31,2.3125,1.75,11.75,5.5,183,7.21,10.5,2510,304,6.81,349,818,100,3.89,156,4.55,15.4,26.9,48300,62.2,285,65.4,169
HP16X162,47.7,16.3,1,16.1,1,2.18,2.1875,1.68,11.75,5.5,162,8.05,11.9,2190,269,6.78,306,697,86.6,3.82,134,4.45,15.3,18.8,40800,61.6,248,57.8,149
HP16X141,41.7,16,0.875,16,0.875,2.06,2.0625,1.62,11.75,5.5,141,9.14,13.6,1870,234,6.7,264,599,74.9,3.79,116,4.4,15.1,12.9,34300,60.5,212,50,128
HP16X121,35.8,15.8,0.75,15.9,0.75,1.93,1.9375,1.56,11.75,5.5,121,10.6,15.9,1590,201,6.66,226,504,63.4,3.75,97.6,4.34,15.1,8.35,28500,59.8,178,42.8,109
HP16X101,29.9,15.5,0.625,15.8,0.625,1.81,1.8125,1.49,11.75,5.5,101,12.6,19,1300,168,6.59,187,412,52.2,3.71,80.1,4.27,14.9,5.07,22800,58.8,145,35.3,89.3
HP16X88,25.8,15.3,0.54,15.7,0.54,1.72,1.75,1.45,11.75,5.5,88,14.5,22,1110,145,6.56,161,349,44.5,3.68,68.2,4.21,14.8,3.45,19000,57.9,123,30.2,76.2
HP14X117,34.4,14.2,0.805,14.9,0.805,1.5,1.5,1.06,11.25,5.5,117,9.25,14.2,1220,172,5.96,194,443,59.5,3.59,91.4,4.15,13.4,8.02,19900,49.9,149,38,96.3
HP14X102,30.1,14,0.705,14.8,0.705,1.38,1.375,1,11.25,5.5,102,10.5,16.2,1050,150,5.92,169,380,51.4,3.56,78.8,4.1,13.3,5.39,16800,49.2,128,33,83.3
HP14X89,26.1,13.8,0.615,14.7,0.615,1.31,1.3125,0.938,11.25,5.5,89,11.9,18.5,904,131,5.88,146,326,44.3,3.53,67.7,4.05,13.2,3.59,14200,48.5,110,28.6,71.9
HP14X73,21.4,13.6,0.505,14.6,0.505,1.19,1.1875,0.875,11.25,5.5,73,14.4,22.6,729,107,5.84,118,261,35.8,3.49,54.6,4,13.1,2.01,11200,47.8,88,23.3,58.3
HP12X84,24.6,12.3,0.685,12.3,0.685,1.38,1.375,1,9.5,5.5,84,8.97,14.2,650,106,5.14,120,213,34.6,2.94,53.2,3.41,11.6,4.24,7140,35.6,75,23.1,59
HP12X74,21.8,12.1,0.605,12.2,0.61,1.31,1.3125,0.938,9.5,5.5,74,10,16.1,569,93.8,5.11,105,186,30.4,2.92,46.6,3.38,11.5,2.98,6160,35.2,65.5,20.4,51.9
HP12X63,18.4,11.9,0.515,12.1,0.515,1.25,1.25,0.875,9.5,5.5,63,11.8,18.9,472,79.1,5.06,88.3,153,25.3,2.88,38.7,3.33,11.4,1.83,5000,34.6,54.1,17.1,43.3
HP12X53,15.5,11.8,0.435,12,0.435,1.13,1.125,0.875,9.5,5.5,53,13.8,22.3,393,66.7,5.03,74,127,21.1,2.86,32.2,3.29,11.4,1.12,4080,34.2,44.7,14.3,36.2
HP10X57,16.7,9.99,0.565,10.2,0.565,1.25,1.25,0.938,7.5,5.5,57,9.03,13.9,294,58.8,4.18,66.5,101,19.7,2.45,30.3,2.84,9.43,1.97,2240,24.1,34.8,12.9,32.8
HP10X42,12.4,9.7,0.415,10.1,0.42,1.13,1.125,0.812,7.5,5.5,42,12,18.9,210,43.4,4.13,48.3,71.7,14.2,2.41,21.8,2.77,9.28,0.813,1540,23.4,24.7,9.41,23.7
HP8X36,10.6,8.02,0.445,8.16,0.445,1.13,1.125,0.875,5.75,5.5,36,9.16,14.2,119,29.8,3.36,33.6,40.3,9.88,1.95,15.2,2.26,7.58,0.77,578,15.4,14,6.5,16.6