Shape,A,d,tw,bf,tf,k(des),k(det),gage,wt./ft.,bf/(2*tf),d/tw,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,Zy,Qs,J,Cw,ro(bar),H
WT12X65.5,19.3,12.2,0.605,12.9,0.96,1.46,1.875,5.5,65.5,6.7,20.2,238,24.8,3.52,2.65,43.9,0.75,170,26.5,2.97,40.7,0.885,4.74,23.1,5.09,0.818
WT12X58.5,17.2,12.1,0.55,12.8,0.85,1.35,1.75,5.5,58.5,7.53,22,212,22.3,3.51,2.62,39.2,0.672,149,23.2,2.94,35.7,0.794,3.35,16.4,5.08,0.814
WT12X52,15.3,12,0.5,12.8,0.75,1.25,1.625,5.5,52,8.5,24,189,20,3.51,2.59,35.1,0.6,130,20.3,2.91,31.2,0.692,2.35,11.6,5.07,0.809
WT12X51.5,15.1,12.3,0.55,9,0.98,1.48,1.875,5.5,51.5,4.59,22.4,204,22,3.67,3.01,39.2,0.841,59.7,13.3,1.99,20.7,0.773,3.53,12.3,4.88,0.733
WT12X47,13.8,12.2,0.515,9.07,0.875,1.38,1.75,5.5,47,5.18,23.7,186,20.3,3.67,2.99,36.1,0.764,54.5,12,1.98,18.7,0.707,2.62,9.57,4.89,0.727
WT12X42,12.4,12.1,0.47,9.02,0.77,1.27,1.6875,5.5,42,5.86,25.7,166,18.3,3.67,2.97,32.5,0.685,47.2,10.5,1.95,16.3,0.606,1.84,6.9,4.9,0.72
WT12X38,11.2,12,0.44,8.99,0.68,1.18,1.5625,5.5,38,6.61,27.3,151,16.9,3.68,3,30.1,0.622,41.3,9.18,1.92,14.3,0.537,1.34,5.3,4.93,0.709
WT12X34,10,11.9,0.415,8.97,0.585,1.09,1.5,5.5,34,7.66,28.7,137,15.6,3.7,3.06,27.9,0.56,35.2,7.85,1.87,12.3,0.486,0.932,4.08,4.99,0.691
WT12X31,9.11,11.9,0.43,7.04,0.59,1.09,1.5,3.5,31,5.97,27.7,131,15.6,3.79,3.46,28.4,1.28,17.2,4.9,1.38,7.85,0.522,0.85,3.92,5.13,0.619
WT12X27.5,8.1,11.8,0.395,7.01,0.505,1.01,1.4375,3.5,27.5,6.94,29.9,117,14.1,3.8,3.5,25.6,1.53,14.5,4.15,1.34,6.65,0.448,0.588,2.93,5.17,0.606
WT10.5X100.5,29.6,11.5,0.91,12.6,1.63,2.13,2.5,5.5,100.5,3.86,12.6,285,31.9,3.1,2.57,58.6,1.18,271,43.1,3.02,66.5,1,20.4,85.4,4.67,0.859
WT10.5X91,26.8,11.4,0.83,12.5,1.48,1.98,2.375,5.5,91,4.22,13.7,253,28.5,3.07,2.48,52.1,1.07,241,38.6,3,59.5,1,15.3,63,4.64,0.859
WT10.5X83,24.4,11.2,0.75,12.4,1.36,1.86,2.25,5.5,83,4.57,14.9,226,25.5,3.04,2.39,46.3,0.983,217,35,2.99,53.9,1,11.8,47.3,4.59,0.861
WT10.5X73.5,21.6,11,0.72,12.5,1.15,1.65,2,5.5,73.5,5.44,15.3,204,23.7,3.08,2.39,42.4,0.864,188,30,2.95,46.3,1,7.69,32.5,4.63,0.846
WT10.5X66,19.4,10.9,0.65,12.4,1.04,1.54,1.9375,5.5,66,6.01,16.8,181,21.1,3.06,2.33,37.6,0.78,166,26.7,2.93,41.1,1,5.62,23.4,4.6,0.845
WT10.5X61,17.9,10.8,0.6,12.4,0.96,1.46,1.8125,5.5,61,6.45,18,166,19.3,3.04,2.28,34.3,0.724,152,24.6,2.91,37.8,0.998,4.47,18.4,4.58,0.846
WT10.5X55.5,16.3,10.8,0.55,12.3,0.875,1.38,1.75,5.5,55.5,7.05,19.6,150,17.5,3.03,2.23,31,0.662,137,22.2,2.9,34.1,0.915,3.4,13.8,4.56,0.845
WT10.5X50.5,14.9,10.7,0.5,12.3,0.8,1.3,1.6875,5.5,50.5,7.68,21.4,135,15.8,3.01,2.18,27.9,0.605,124,20.2,2.89,30.8,0.824,2.6,10.4,4.53,0.846
WT10.5X46.5,13.7,10.8,0.58,8.42,0.93,1.43,1.625,5.5,46.5,4.53,18.6,144,17.9,3.25,2.74,31.8,0.812,46.4,11,1.84,17.3,0.966,3.01,9.33,4.37,0.73
WT10.5X41.5,12.2,10.7,0.515,8.36,0.835,1.34,1.5,5.5,41.5,5,20.8,127,15.7,3.22,2.66,28,0.728,40.7,9.74,1.83,15.2,0.854,2.16,6.5,4.33,0.732
WT10.5X36.5,10.7,10.6,0.455,8.3,0.74,1.24,1.4375,5.5,36.5,5.6,23.3,110,13.8,3.21,2.6,24.4,0.647,35.3,8.51,1.81,13.3,0.728,1.51,4.42,4.3,0.732
WT10.5X34,10,10.6,0.43,8.27,0.685,1.19,1.375,5.5,34,6.04,24.7,103,12.9,3.2,2.59,22.9,0.606,32.4,7.83,1.8,12.2,0.657,1.22,3.62,4.3,0.728
WT10.5X31,9.13,10.5,0.4,8.24,0.615,1.12,1.3125,5.5,31,6.7,26.3,93.8,11.9,3.21,2.58,21.1,0.554,28.7,6.97,1.77,10.9,0.579,0.913,2.78,4.31,0.721
WT10.5X27.5,8.1,10.4,0.375,8.22,0.522,1.02,1.1875,5.5,27.5,7.87,27.7,84.4,10.9,3.23,2.64,19.4,0.493,24.2,5.89,1.73,9.18,0.522,0.617,2.08,4.37,0.703
WT10.5X24,7.07,10.3,0.35,8.14,0.43,0.93,1.125,5.5,24,9.47,29.4,74.9,9.9,3.26,2.74,17.8,0.459,19.4,4.76,1.66,7.44,0.463,0.4,1.52,4.44,0.676
WT10.5X28.5,8.37,10.5,0.405,6.56,0.65,1.15,1.3125,3.5,28.5,5.04,25.9,90.4,11.8,3.29,2.85,21.2,0.638,15.3,4.67,1.35,7.4,0.597,0.884,2.5,4.36,0.665
WT10.5X25,7.36,10.4,0.38,6.53,0.535,1.04,1.25,3.5,25,6.1,27.4,80.3,10.7,3.3,2.93,19.4,0.771,12.5,3.82,1.3,6.08,0.533,0.57,1.89,4.44,0.64
WT10.5X22,6.49,10.3,0.35,6.5,0.45,0.95,1.125,3.5,22,7.22,29.4,71.1,9.68,3.31,2.98,17.6,1.06,10.3,3.18,1.26,5.07,0.463,0.383,1.4,4.49,0.623
WT9X155.5,45.8,11.2,1.52,12,2.74,3.24,3.4375,5.5,155.5,2.19,7.37,383,46.6,2.89,2.93,90.6,1.91,398,66.2,2.95,104,1,87.2,339,4.41,0.875
WT9X141.5,41.7,10.9,1.4,11.9,2.5,3,3.1875,5.5,141.5,2.38,7.79,337,41.5,2.85,2.8,80.2,1.75,352,59.2,2.91,92.5,1,66.5,251,4.36,0.873
WT9X129,38,10.7,1.28,11.8,2.3,2.7,3,5.5,129,2.56,8.36,298,37,2.8,2.68,71,1.61,314,53.4,2.88,83.1,1,51.1,189,4.3,0.874
WT9X117,34.3,10.5,1.16,11.7,2.11,2.51,2.75,5.5,117,2.76,9.05,261,32.7,2.75,2.55,62.4,1.48,279,47.9,2.85,74.4,1,39.1,140,4.23,0.875
WT9X105.5,31.2,10.3,1.06,11.6,1.91,2.31,2.5625,5.5,105.5,3.02,9.72,229,29.1,2.72,2.44,55,1.34,246,42.7,2.82,66.1,1,29.1,102,4.19,0.874
WT9X96,28.1,10.2,0.96,11.5,1.75,2.15,2.4375,5.5,96,3.27,10.6,202,25.8,2.68,2.34,48.5,1.23,220,38.4,2.79,59.4,1,22.3,75.7,4.13,0.875
WT9X87.5,25.7,10,0.89,11.4,1.59,1.99,2.4375,5.5,87.5,3.58,11.2,181,23.4,2.66,2.26,43.6,1.13,196,34.4,2.76,53.1,1,16.8,56.5,4.1,0.872
WT9X79,23.2,9.86,0.81,11.3,1.44,1.84,2.375,5.5,79,3.92,12.2,160,20.8,2.63,2.17,38.5,1.02,174,30.7,2.74,47.4,1,12.5,41.2,4.06,0.872
WT9X71.5,21,9.75,0.73,11.2,1.32,1.72,2.1875,5.5,71.5,4.25,13.4,142,18.5,2.6,2.09,34,0.937,156,27.7,2.72,42.7,1,9.58,30.7,4.02,0.874
WT9X65,19.2,9.63,0.67,11.2,1.2,1.6,2.0625,5.5,65,4.65,14.4,127,16.7,2.58,2.02,30.5,0.856,139,24.9,2.7,38.3,1,7.23,22.8,4,0.873
WT9X59.5,17.6,9.49,0.655,11.3,1.06,1.46,1.9375,5.5,59.5,5.31,14.5,119,15.9,2.6,2.03,28.7,0.778,126,22.5,2.69,34.5,1,5.3,17.4,4.03,0.862
WT9X53,15.6,9.37,0.59,11.2,0.94,1.34,1.8125,5.5,53,5.96,15.9,104,14.1,2.59,1.97,25.2,0.695,110,19.7,2.66,30.2,1,3.73,12.1,4,0.86
WT9X48.5,14.2,9.3,0.535,11.1,0.87,1.27,1.75,5.5,48.5,6.41,17.4,93.8,12.7,2.56,1.91,22.6,0.64,100,18,2.65,27.6,1,2.92,9.29,3.97,0.863
WT9X43,12.7,9.2,0.48,11.1,0.77,1.17,1.625,5.5,43,7.2,19.2,82.4,11.2,2.55,1.86,19.9,0.57,87.6,15.8,2.63,24.2,0.935,2.04,6.42,3.95,0.861
WT9X38,11.1,9.11,0.425,11,0.68,1.08,1.5625,5.5,38,8.11,21.4,71.8,9.83,2.54,1.8,17.3,0.505,76.2,13.8,2.61,21.1,0.824,1.41,4.37,3.93,0.861
WT9X35.5,10.4,9.24,0.495,7.64,0.81,1.21,1.5,3.5,35.5,4.71,18.7,78.2,11.2,2.74,2.26,20,0.683,30.1,7.89,1.7,12.3,0.961,1.74,3.96,3.72,0.752
WT9X32.5,9.55,9.18,0.45,7.59,0.75,1.15,1.4375,3.5,32.5,5.06,20.4,70.7,10.1,2.72,2.2,18,0.629,27.4,7.22,1.69,11.2,0.875,1.36,3.01,3.69,0.755
WT9X30,8.82,9.12,0.415,7.56,0.695,1.1,1.375,3.5,30,5.44,22,64.7,9.29,2.71,2.16,16.5,0.583,25,6.63,1.68,10.3,0.794,1.08,2.35,3.67,0.756
WT9X27.5,8.1,9.06,0.39,7.53,0.63,1.03,1.3125,3.5,27.5,5.98,23.2,59.5,8.63,2.71,2.16,15.3,0.538,22.5,5.97,1.67,9.26,0.733,0.83,1.84,3.68,0.749
WT9X25,7.34,9,0.355,7.5,0.57,0.972,1.25,3.5,25,6.57,25.4,53.5,7.79,2.7,2.12,13.8,0.489,20,5.35,1.65,8.28,0.62,0.619,1.36,3.66,0.748
WT9X23,6.77,9.03,0.36,6.06,0.605,1.01,1.25,3.5,23,5.01,25.1,52.1,7.77,2.77,2.33,13.9,0.558,11.3,3.71,1.29,5.84,0.635,0.609,1.2,3.67,0.695
WT9X20,5.88,8.95,0.315,6.02,0.525,0.927,1.1875,3.5,20,5.73,28.4,44.8,6.73,2.76,2.29,12,0.489,9.55,3.17,1.27,4.97,0.496,0.404,0.788,3.65,0.693
WT9X17.5,5.15,8.85,0.3,6,0.425,0.827,1.125,3.5,17.5,7.06,29.5,40.1,6.21,2.79,2.39,11.2,0.45,7.67,2.56,1.22,4.02,0.46,0.252,0.598,3.74,0.662
WT8X50,14.7,8.49,0.585,10.4,0.985,1.39,1.875,5.5,50,5.29,14.5,76.8,11.4,2.28,1.76,20.7,0.706,93.1,17.9,2.51,27.4,1,3.85,10.4,3.63,0.878
WT8X44.5,13.1,8.38,0.525,10.4,0.875,1.28,1.75,5.5,44.5,5.92,16,67.2,10.1,2.27,1.7,18.1,0.631,81.3,15.7,2.49,24,1,2.72,7.19,3.6,0.877
WT8X38.5,11.3,8.26,0.455,10.3,0.76,1.16,1.625,5.5,38.5,6.77,18.2,56.9,8.59,2.24,1.63,15.3,0.549,69.2,13.4,2.47,20.5,0.986,1.78,4.61,3.57,0.877
WT8X33.5,9.81,8.17,0.395,10.2,0.665,1.07,1.5625,5.5,33.5,7.7,20.7,48.6,7.36,2.22,1.56,13,0.481,59.5,11.6,2.46,17.7,0.859,1.19,3.01,3.54,0.879
WT8X28.5,8.39,8.22,0.43,7.12,0.715,1.12,1.375,3.5,28.5,4.98,19.1,48.7,7.77,2.41,1.94,13.8,0.589,21.6,6.06,1.6,9.42,0.94,1.1,1.99,3.3,0.77
WT8X25,7.37,8.13,0.38,7.07,0.63,1.03,1.3125,3.5,25,5.61,21.4,42.3,6.78,2.4,1.89,12,0.521,18.6,5.26,1.59,8.15,0.824,0.76,1.34,3.28,0.769
WT8X22.5,6.63,8.07,0.345,7.04,0.565,0.967,1.25,3.5,22.5,6.23,23.4,37.8,6.1,2.39,1.86,10.8,0.471,16.4,4.67,1.57,7.22,0.723,0.555,0.974,3.27,0.767
WT8X20,5.89,8.01,0.305,7,0.505,0.907,1.1875,3.5,20,6.93,26.3,33.1,5.35,2.37,1.81,9.43,0.421,14.4,4.12,1.56,6.36,0.579,0.396,0.673,3.24,0.769
WT8X18,5.29,7.93,0.295,6.99,0.43,0.832,1.125,3.5,18,8.12,26.9,30.6,5.05,2.41,1.88,8.93,0.378,12.2,3.5,1.52,5.42,0.553,0.272,0.516,3.3,0.745
WT8X15.5,4.56,7.94,0.275,5.53,0.44,0.842,1.125,3.5,15.5,6.28,28.9,27.5,4.64,2.45,2.02,8.27,0.413,6.2,2.24,1.17,3.51,0.479,0.23,0.366,3.26,0.695
WT8X13,3.84,7.85,0.25,5.5,0.345,0.747,1.0625,3.5,13,7.97,31.4,23.5,4.09,2.47,2.09,7.36,0.372,4.79,1.74,1.12,2.73,0.406,0.13,0.243,3.32,0.667
WT7X365,107,11.2,3.07,17.9,4.91,5.51,6.1875,7.5,365,1.82,3.65,739,95.4,2.62,3.47,211,3,2360,264,4.69,408,1,714,5250,5.47,0.966
WT7X332.5,97.8,10.8,2.83,17.7,4.52,5.12,5.8125,7.5,332.5,1.95,3.82,622,82.1,2.52,3.25,182,2.77,2080,236,4.62,365,1,555,3920,5.35,0.966
WT7X302.5,89,10.5,2.6,17.4,4.16,4.76,5.4375,7.5,302.5,2.09,4.04,524,70.6,2.43,3.05,157,2.55,1840,211,4.55,326,1,430,2930,5.24,0.966
WT7X275,80.9,10.1,2.38,17.2,3.82,4.42,5.125,7.5,275,2.25,4.24,442,60.9,2.34,2.85,136,2.35,1630,189,4.49,292,1,331,2180,5.15,0.966
WT7X250,73.5,9.8,2.19,17,3.5,4.1,4.8125,7.5,250,2.43,4.47,375,52.7,2.26,2.67,117,2.16,1440,169,4.43,261,1,254,1620,5.06,0.967
WT7X227.5,66.9,9.51,2.02,16.8,3.21,3.81,4.5,7.5,227.5,2.62,4.71,321,45.9,2.19,2.51,102,1.99,1280,152,4.38,234,1,196,1210,4.98,0.967
WT7X213,62.7,9.34,1.88,16.7,3.04,3.63,4.3125,7.5,213,2.75,4.97,287,41.4,2.14,2.4,91.7,1.88,1180,141,4.34,217,1,164,991,4.92,0.968
WT7X199,58.4,9.15,1.77,16.6,2.85,3.44,4.125,7.5,199,2.92,5.17,257,37.6,2.1,2.3,82.9,1.76,1090,131,4.31,201,1,135,801,4.87,0.968
WT7X185,54.4,8.96,1.66,16.5,2.66,3.26,3.9375,7.5,185,3.1,5.4,229,33.9,2.05,2.19,74.4,1.65,994,121,4.27,185,1,110,640,4.82,0.968
WT7X171,50.3,8.77,1.54,16.4,2.47,3.07,3.75,7.5,171,3.31,5.69,203,30.4,2.01,2.09,66.2,1.54,903,110,4.24,169,1,88.3,502,4.77,0.968
WT7X155.5,45.7,8.56,1.41,16.2,2.26,2.86,3.5625,7.5,155.5,3.59,6.07,176,26.7,1.96,1.97,57.7,1.41,807,99.4,4.2,152,1,67.5,375,4.71,0.969
WT7X141.5,41.6,8.37,1.29,16.1,2.07,2.67,3.375,7.5,141.5,3.89,6.49,153,23.5,1.92,1.86,50.4,1.29,722,89.7,4.17,137,1,51.8,281,4.66,0.969
WT7X128.5,37.8,8.19,1.18,16,1.89,2.49,3.1875,7.5,128.5,4.23,6.94,133,20.7,1.88,1.75,43.9,1.18,645,80.7,4.13,123,1,39.3,209,4.61,0.969
WT7X116.5,34.2,8.02,1.07,15.9,1.72,2.32,3,7.5,116.5,4.62,7.5,116,18.2,1.84,1.65,38.2,1.08,576,72.5,4.1,110,1,29.6,154,4.57,0.97
WT7X105.5,31,7.86,0.98,15.8,1.56,2.16,2.875,7.5,105.5,5.06,8.02,102,16.2,1.81,1.57,33.4,0.98,513,65,4.07,98.9,1,22.2,113,4.52,0.97
WT7X96.5,28.4,7.74,0.89,15.7,1.44,2.04,2.75,7.5,96.5,5.45,8.7,89.8,14.4,1.78,1.49,29.4,0.903,466,59.3,4.05,90.1,1,17.3,87.2,4.49,0.971
WT7X88,25.9,7.61,0.83,15.7,1.31,1.91,2.625,7.5,88,5.97,9.17,80.5,13,1.76,1.43,26.3,0.827,419,53.5,4.02,81.3,1,13.2,65.2,4.46,0.97
WT7X79.5,23.4,7.49,0.745,15.6,1.19,1.79,2.5,7.5,79.5,6.54,10.1,70.2,11.4,1.73,1.35,22.8,0.751,374,48.1,4,73,1,9.84,47.9,4.43,0.971
WT7X72.5,21.3,7.39,0.68,15.5,1.09,1.69,2.375,7.5,72.5,7.11,10.9,62.5,10.2,1.71,1.29,20.2,0.688,338,43.7,3.98,66.2,1,7.56,36.3,4.4,0.971
WT7X66,19.4,7.33,0.645,14.7,1.03,1.63,2.3125,5.5,66,7.15,11.4,57.8,9.57,1.73,1.29,18.6,0.658,274,37.2,3.76,56.5,1,6.13,26.6,4.21,0.966
WT7X60,17.7,7.24,0.59,14.7,0.94,1.54,2.25,5.5,60,7.8,12.3,51.7,8.61,1.71,1.24,16.5,0.602,247,33.7,3.74,51.2,1,4.67,20,4.19,0.966
WT7X54.5,16,7.16,0.525,14.6,0.86,1.46,2.1875,5.5,54.5,8.49,13.6,45.3,7.56,1.68,1.17,14.4,0.548,223,30.6,3.73,46.3,1,3.55,15,4.16,0.968
WT7X49.5,14.6,7.08,0.485,14.6,0.78,1.38,2.0625,5.5,49.5,9.34,14.6,40.9,6.88,1.67,1.14,12.9,0.5,201,27.6,3.71,41.8,1,2.68,11.1,4.14,0.967
WT7X45,13.2,7.01,0.44,14.5,0.71,1.31,2,5.5,45,10.2,15.9,36.5,6.16,1.66,1.09,11.5,0.456,181,25,3.7,37.8,1,2.03,8.31,4.12,0.968
WT7X41,12,7.16,0.51,10.1,0.855,1.45,1.6875,5.5,41,5.92,14,41.2,7.14,1.85,1.39,13.2,0.593,74.1,14.6,2.48,22.4,1,2.53,5.63,3.24,0.912
WT7X37,10.9,7.09,0.45,10.1,0.785,1.38,1.625,5.5,37,6.41,15.8,36,6.25,1.82,1.32,11.5,0.541,66.9,13.3,2.48,20.2,1,1.93,4.19,3.21,0.916
WT7X34,10,7.02,0.415,10,0.72,1.31,1.5625,5.5,34,6.97,16.9,32.6,5.69,1.81,1.29,10.4,0.498,60.7,12.1,2.46,18.4,1,1.5,3.21,3.19,0.916
WT7X30.5,8.96,6.95,0.375,10,0.645,1.24,1.5,5.5,30.5,7.75,18.5,28.9,5.07,1.8,1.25,9.15,0.448,53.7,10.7,2.45,16.4,0.971,1.09,2.29,3.17,0.915
WT7X26.5,7.8,6.96,0.37,8.06,0.66,1.25,1.5,5.5,26.5,6.11,18.8,27.6,4.94,1.88,1.38,8.87,0.484,28.8,7.15,1.92,11,0.956,0.967,1.46,2.89,0.868
WT7X24,7.07,6.9,0.34,8.03,0.595,1.19,1.4375,5.5,24,6.75,20.3,24.9,4.49,1.88,1.35,8,0.44,25.7,6.4,1.91,9.8,0.88,0.723,1.07,2.87,0.866
WT7X21.5,6.31,6.83,0.305,8,0.53,1.12,1.375,5.5,21.5,7.54,22.4,21.9,3.98,1.86,1.31,7.05,0.395,22.6,5.65,1.89,8.64,0.773,0.522,0.751,2.86,0.865
WT7X19,5.58,7.05,0.31,6.77,0.515,0.915,1.25,3.5,19,6.57,22.7,23.3,4.22,2.04,1.54,7.45,0.412,13.3,3.94,1.55,6.07,0.758,0.398,0.554,2.86,0.799
WT7X17,5,6.99,0.285,6.75,0.455,0.855,1.1875,3.5,17,7.41,24.5,20.9,3.83,2.04,1.53,6.74,0.371,11.6,3.45,1.53,5.32,0.667,0.284,0.4,2.87,0.792
WT7X15,4.42,6.92,0.27,6.73,0.385,0.785,1.125,3.5,15,8.74,25.6,19,3.55,2.07,1.58,6.25,0.329,9.79,2.91,1.49,4.49,0.611,0.19,0.287,2.9,0.772
WT7X13,3.85,6.96,0.255,5.03,0.42,0.82,1.125,2.75,13,5.98,27.3,17.3,3.31,2.12,1.72,5.89,0.383,4.45,1.77,1.08,2.76,0.537,0.179,0.207,2.82,0.712
WT7X11,3.25,6.87,0.23,5,0.335,0.735,1.0625,2.75,11,7.46,29.9,14.8,2.91,2.14,1.76,5.2,0.325,3.5,1.4,1.04,2.19,0.448,0.104,0.134,2.86,0.689
WT6X168,49.5,8.41,1.78,13.4,2.96,3.55,3.875,5.5,168,2.26,4.72,190,31.2,1.96,2.31,68.4,1.84,593,88.6,3.47,137,1,120,481,4.07,0.958
WT6X152.5,44.7,8.16,1.63,13.2,2.71,3.3,3.625,5.5,152.5,2.45,5.01,162,27,1.9,2.16,59.1,1.69,525,79.3,3.42,122,1,92,356,4,0.959
WT6X139.5,41,7.93,1.53,13.1,2.47,3.07,3.375,5.5,139.5,2.66,5.18,141,24.1,1.86,2.05,51.9,1.56,469,71.3,3.38,110,1,70.9,267,3.94,0.958
WT6X126,37.1,7.71,1.4,13,2.25,2.85,3.125,5.5,126,2.89,5.51,121,20.9,1.81,1.92,44.8,1.42,414,63.6,3.34,97.9,1,53.5,195,3.88,0.958
WT6X115,33.8,7.53,1.29,12.9,2.07,2.67,2.9375,5.5,115,3.11,5.84,106,18.5,1.77,1.82,39.4,1.31,371,57.5,3.31,88.4,1,41.6,148,3.83,0.958
WT6X105,30.9,7.36,1.18,12.8,1.9,2.5,2.8125,5.5,105,3.37,6.24,92.1,16.4,1.73,1.72,34.5,1.21,332,51.9,3.28,79.7,1,32.1,112,3.79,0.958
WT6X95,28,7.19,1.06,12.7,1.74,2.33,2.625,5.5,95,3.65,6.78,79,14.2,1.68,1.62,29.8,1.1,295,46.5,3.25,71.2,1,24.3,82.1,3.73,0.96
WT6X85,25,7.02,0.96,12.6,1.56,2.16,2.4375,5.5,85,4.03,7.31,67.8,12.3,1.65,1.52,25.6,0.994,259,41.2,3.22,62.9,1,17.7,58.3,3.69,0.96
